ostrinia_nubilalis	drosophila_melanogaster
XP_063825210.1	NP_524490.2
XP_063825217.1	NP_609535.1
XP_063825220.1	NP_729679.2
XP_063825222.1	NP_610953.1
XP_063825224.1	NP_651081.1
XP_063825228.1	NP_608450.1
XP_063825230.1	NP_001015119.2
XP_063825231.1	NP_651664.2
XP_063825232.1	NP_524177.1
XP_063825234.1	NP_001097972.3
XP_063825235.1	NP_608470.1
XP_063825236.1	NP_523962.2
XP_063825238.1	NP_611151.1
XP_063825246.1	NP_788027.1
XP_063825248.1	NP_611291.1
XP_063825249.1	NP_649546.1
XP_063825255.1	NP_731905.1
XP_063825260.1	NP_650113.1
XP_063825263.1	NP_573242.2
XP_063825264.1	NP_610829.1
XP_063825265.1	NP_651170.1
XP_063825266.1	NP_611409.2
XP_063825268.1	NP_726596.1
XP_063825270.1	NP_611932.2
XP_063825271.1	NP_609383.2
XP_063825277.1	NP_524379.2
XP_063825278.1	NP_723811.1
XP_063825280.1	NP_995679.1
XP_063825281.1	NP_648102.2
XP_063825283.1	NP_609639.2
XP_063825286.1	NP_609619.1
XP_063825287.1	NP_611959.2
XP_063825288.1	NP_611884.1
XP_063825289.1	NP_652039.2
XP_063825292.1	NP_523811.1
XP_063825297.1	NP_611676.1
XP_063825299.1	NP_611009.1
XP_063825302.1	NP_652035.1
XP_063825303.1	NP_651076.2
XP_063825304.1	NP_650942.1
XP_063825306.1	NP_572669.2
XP_063825309.1	NP_732097.2
XP_063825311.1	NP_647877.1
XP_063825312.1	NP_612004.2
XP_063825320.1	NP_648065.1
XP_063825322.1	NP_650608.1
XP_063825328.1	NP_647770.1
XP_063825330.1	NP_001036440.1
XP_063825332.1	NP_609416.1
XP_063825343.1	NP_651511.1
XP_063825344.1	NP_524894.1
XP_063825347.1	NP_724481.1
XP_063825348.1	NP_650470.1
XP_063825349.1	NP_611523.3
XP_063825351.1	NP_477445.1
XP_063825352.1	NP_611940.1
XP_063825353.1	NP_609631.1
XP_063825354.1	NP_001014529.1
XP_063825355.1	NP_609567.2
XP_063825362.1	NP_647874.1
XP_063825365.1	NP_608346.1
XP_063825390.1	NP_727796.1
XP_063825395.1	NP_001033961.2
XP_063825396.1	NP_648566.1
XP_063825398.1	NP_651972.1
XP_063825401.1	NP_609740.4
XP_063825405.1	NP_611334.1
XP_063825406.1	NP_573333.2
XP_063825409.1	NP_609081.1
XP_063825416.1	NP_610828.2
XP_063825422.1	NP_729025.1
XP_063825430.1	NP_651725.1
XP_063825438.1	NP_573039.1
XP_063825439.1	NP_652488.1
XP_063825441.1	NP_650835.1
XP_063825442.1	NP_648602.1
XP_063825448.1	NP_610660.2
XP_063825467.1	NP_651035.1
XP_063825469.1	NP_650904.3
XP_063825471.1	NP_001036688.2
XP_063825477.1	NP_477509.1
XP_063825479.1	NP_611858.2
XP_063825480.1	NP_610078.2
XP_063825481.1	NP_729096.1
XP_063825482.1	NP_524742.1
XP_063825484.1	NP_649408.1
XP_063825485.1	NP_649243.1
XP_063825486.1	NP_001033839.1
XP_063825489.1	NP_611693.1
XP_063825490.1	NP_608737.1
XP_063825499.1	NP_524399.1
XP_063825500.1	NP_611563.1
XP_063825501.1	NP_001014533.1
XP_063825503.1	NP_726199.3
XP_063825504.1	NP_728092.1
XP_063825509.1	NP_650382.3
XP_063825510.1	NP_611247.3
XP_063825512.1	NP_001097876.1
XP_063825515.1	NP_788909.1
XP_063825517.1	NP_573097.1
XP_063825519.1	NP_787960.1
XP_063825522.1	NP_523542.1
XP_063825523.1	NP_610077.1
XP_063825524.1	NP_724578.1
XP_063825526.1	NP_524823.1
XP_063825529.1	NP_651756.1
XP_063825530.1	NP_611007.1
XP_063825531.1	NP_649219.1
XP_063825532.1	NP_648921.2
XP_063825534.1	NP_001014492.2
XP_063825536.1	NP_001097143.1
XP_063825542.1	NP_610084.1
XP_063825543.1	NP_649792.3
XP_063825545.1	NP_729054.3
XP_063825548.1	NP_609452.1
XP_063825550.1	NP_647636.3
XP_063825552.1	NP_573196.1
XP_063825554.1	NP_650149.1
XP_063825555.1	NP_524902.2
XP_063825560.1	NP_001097043.1
XP_063825561.1	NP_569945.1
XP_063825563.1	NP_573342.1
XP_063825565.1	NP_649425.1
XP_063825568.1	NP_476955.1
XP_063825569.1	NP_476736.1
XP_063825571.1	NP_611248.3
XP_063825574.1	NP_609365.3
XP_063825575.1	NP_650553.1
XP_063825576.1	NP_647619.1
XP_063825578.1	NP_611096.1
XP_063825579.1	NP_611095.1
XP_063825583.1	NP_001014633.2
XP_063825584.1	NP_609060.1
XP_063825585.1	NP_476754.1
XP_063825589.1	NP_725401.2
XP_063825590.1	NP_996031.1
XP_063825594.1	NP_608715.2
XP_063825597.1	NP_511145.2
XP_063825599.1	NP_569860.3
XP_063825600.1	NP_476819.2
XP_063825603.1	NP_650503.1
XP_063825604.1	NP_573075.1
XP_063825607.1	NP_649195.1
XP_063825608.1	NP_610625.1
XP_063825615.1	NP_001014730.1
XP_063825617.1	NP_001036438.1
XP_063825619.1	NP_647670.3
XP_063825620.1	NP_572246.1
XP_063825621.1	NP_647835.1
XP_063825622.1	NP_647834.3
XP_063825625.1	NP_730679.2
XP_063825626.1	NP_609321.1
XP_063825627.1	NP_651968.1
XP_063825629.1	NP_572148.2
XP_063825630.1	NP_611553.1
XP_063825632.1	NP_609399.1
XP_063825634.1	NP_573147.2
XP_063825637.1	NP_573176.1
XP_063825638.1	NP_648601.1
XP_063825643.1	NP_611856.1
XP_063825645.1	NP_573152.2
XP_063825647.1	NP_001137676.1
XP_063825648.1	NP_477421.1
XP_063825649.1	NP_611094.1
XP_063825650.1	NP_649158.1
XP_063825653.1	NP_650123.1
XP_063825655.1	NP_648286.1
XP_063825656.1	NP_651726.1
XP_063825657.1	NP_648337.1
XP_063825658.1	NP_610511.3
XP_063825660.1	NP_647979.1
XP_063825661.1	NP_477294.2
XP_063825662.1	NP_572215.1
XP_063825665.1	NP_001096855.1
XP_063825666.1	NP_611050.1
XP_063825668.1	NP_611395.1
XP_063825673.1	NP_648146.1
XP_063825675.1	NP_573170.2
XP_063825679.1	NP_609539.1
XP_063825682.1	NP_523740.3
XP_063825686.1	NP_647783.3
XP_063825687.1	NP_647985.1
XP_063825691.1	NP_612030.2
XP_063825692.1	NP_524861.2
XP_063825695.1	NP_477160.1
XP_063825697.1	NP_570029.1
XP_063825702.1	NP_001036397.2
XP_063825707.1	NP_573326.1
XP_063825716.1	NP_001027079.1
XP_063825717.1	NP_611294.1
XP_063825718.1	NP_726106.1
XP_063825719.1	NP_523830.2
XP_063825720.1	NP_611595.3
XP_063825724.1	NP_648920.1
XP_063825725.1	NP_788884.1
XP_063825726.1	NP_611988.2
XP_063825727.1	NP_649083.2
XP_063825728.1	NP_572758.1
XP_063825729.1	NP_651962.2
XP_063825738.1	NP_524001.2
XP_063825743.1	NP_610735.1
XP_063825747.1	NP_995822.1
XP_063825748.1	NP_610915.2
XP_063825755.1	NP_651027.1
XP_063825761.1	NP_728347.1
XP_063825762.1	NP_647773.1
XP_063825763.1	NP_610518.1
XP_063825765.1	NP_001036744.1
XP_063825786.1	NP_523973.2
XP_063825787.1	NP_648787.2
XP_063825790.1	NP_725517.2
XP_063825793.1	NP_649315.1
XP_063825796.1	NP_612062.1
XP_063825797.1	NP_648950.1
XP_063825798.1	NP_524690.1
XP_063825799.1	NP_651417.1
XP_063825800.1	NP_727339.3
XP_063825802.1	NP_650069.2
XP_063825803.1	NP_609319.2
XP_063825804.1	NP_476615.1
XP_063825805.1	NP_611243.1
XP_063825807.1	NP_610973.3
XP_063825808.1	NP_611407.1
XP_063825809.1	NP_572598.3
XP_063825812.1	NP_476934.2
XP_063825817.1	NP_609320.2
XP_063825821.1	NP_610090.1
XP_063825822.1	NP_572919.1
XP_063825826.1	NP_476763.1
XP_063825839.1	NP_722725.1
XP_063825845.1	NP_726372.1
XP_063825848.1	NP_648413.1
XP_063825849.1	NP_477451.1
XP_063825851.1	NP_573174.1
XP_063825853.1	NP_524759.2
XP_063825861.1	NP_609194.1
XP_063825864.1	NP_659573.1
XP_063825868.1	NP_524668.2
XP_063825876.1	NP_572855.1
XP_063825879.1	NP_525063.1
XP_063825881.1	NP_651211.2
XP_063825882.1	NP_477310.2
XP_063825883.1	NP_725278.1
XP_063825885.1	NP_524367.1
XP_063825887.1	NP_609809.1
XP_063825888.1	NP_610427.2
XP_063825891.1	NP_649341.1
XP_063825892.1	NP_726368.2
XP_063825894.1	NP_611663.2
XP_063825895.1	NP_525046.1
XP_063825899.1	NP_729954.2
XP_063825901.1	NP_610386.2
XP_063825911.1	NP_476940.1
XP_063825913.1	NP_572428.3
XP_063825916.1	NP_523497.2
XP_063825917.1	NP_610912.2
XP_063825924.1	NP_610361.1
XP_063825925.1	NP_612031.3
XP_063825926.1	NP_610516.1
XP_063825928.1	NP_001246272.1
XP_063825929.1	NP_573135.1
XP_063825933.1	NP_524027.2
XP_063825935.1	NP_649426.3
XP_063825936.1	NP_610554.1
XP_063825938.1	NP_573086.2
XP_063825940.1	NP_610082.2
XP_063825941.1	NP_001014495.1
XP_063825942.1	NP_573218.1
XP_063825944.1	NP_609733.1
XP_063825945.1	NP_652400.3
XP_063825946.1	NP_651709.1
XP_063825947.1	NP_524879.2
XP_063825951.1	NP_525097.1
XP_063825952.1	NP_648597.2
XP_063825954.1	NP_611708.2
XP_063825955.1	NP_731246.2
XP_063825957.1	NP_610519.2
XP_063825958.1	NP_609766.1
XP_063825962.1	NP_652604.2
XP_063825964.1	NP_001033958.1
XP_063825968.1	NP_649325.2
XP_063825970.1	NP_524883.2
XP_063825972.1	NP_610176.1
XP_063825973.1	NP_524393.2
XP_063825974.1	NP_524838.1
XP_063825975.1	NP_611246.1
XP_063825976.1	NP_572601.1
XP_063825978.1	NP_523583.2
XP_063825979.1	NP_610760.1
XP_063825980.1	NP_648819.2
XP_063825981.1	NP_572328.1
XP_063825982.1	NP_569933.2
XP_063825983.1	NP_609028.2
XP_063825986.1	NP_611545.1
XP_063825987.1	NP_572868.3
XP_063825990.1	NP_608656.1
XP_063825991.1	NP_651720.3
XP_063825992.1	NP_572274.1
XP_063825993.1	NP_996359.2
XP_063825995.1	NP_511064.2
XP_063826006.1	NP_523846.2
XP_063826011.1	NP_001097221.1
XP_063826012.1	NP_725849.1
XP_063826016.1	NP_610379.2
XP_063826017.1	NP_523738.2
XP_063826027.1	NP_608762.3
XP_063826031.1	NP_477274.1
XP_063826032.1	NP_725599.2
XP_063826033.1	NP_511058.1
XP_063826038.1	NP_610802.1
XP_063826039.1	NP_725705.2
XP_063826044.1	NP_476978.1
XP_063826045.1	NP_649096.1
XP_063826051.1	NP_611564.2
XP_063826052.1	NP_649903.1
XP_063826053.1	NP_609483.2
XP_063826055.1	NP_477218.1
XP_063826057.1	NP_511062.1
XP_063826060.1	NP_650590.1
XP_063826061.1	NP_610629.1
XP_063826068.1	NP_660192.1
XP_063826070.1	NP_611015.1
XP_063826073.1	NP_001163243.1
XP_063826076.1	NP_611805.1
XP_063826084.1	NP_523910.1
XP_063826086.1	NP_572571.1
XP_063826087.1	NP_572572.1
XP_063826088.1	NP_610378.1
XP_063826090.1	NP_788429.1
XP_063826092.1	NP_731252.1
XP_063826095.1	NP_476923.1
XP_063826100.1	NP_726105.1
XP_063826101.1	NP_609038.1
XP_063826102.1	NP_477002.1
XP_063826106.1	NP_649009.1
XP_063826107.1	NP_648623.1
XP_063826114.1	NP_572427.1
XP_063826118.1	NP_649428.1
XP_063826132.1	NP_610694.1
XP_063826136.1	NP_611376.1
XP_063826145.1	NP_609625.2
XP_063826146.1	NP_608839.1
XP_063826147.1	NP_001097003.1
XP_063826148.1	NP_523538.1
XP_063826149.1	NP_649019.2
XP_063826150.1	NP_523434.2
XP_063826151.1	NP_523647.2
XP_063826152.1	NP_523587.4
XP_063826155.1	NP_524241.1
XP_063826181.1	NP_723441.2
XP_063826195.1	NP_523586.1
XP_063826196.1	NP_001138001.1
XP_063826197.1	NP_609092.1
XP_063826198.1	NP_611842.1
XP_063826199.1	NP_608449.1
XP_063826203.1	NP_651049.3
XP_063826205.1	NP_572299.1
XP_063826206.1	NP_611390.2
XP_063826208.1	NP_610491.4
XP_063826209.1	NP_648644.1
XP_063826210.1	NP_723239.1
XP_063826211.1	NP_477474.1
XP_063826212.1	NP_523743.1
XP_063826215.1	NP_611146.1
XP_063826218.1	NP_609808.1
XP_063826220.1	NP_609258.1
XP_063826222.1	NP_648037.1
XP_063826226.1	NP_572609.1
XP_063826229.1	NP_476682.1
XP_063826231.1	NP_649253.1
XP_063826232.1	NP_725583.1
XP_063826233.1	NP_651229.2
XP_063826234.1	NP_477265.1
XP_063826236.1	NP_649225.1
XP_063826238.1	NP_477008.1
XP_063826240.1	NP_610377.1
XP_063826241.1	NP_536733.1
XP_063826243.1	NP_723893.1
XP_063826245.1	NP_536346.1
XP_063826247.1	NP_609995.1
XP_063826249.1	NP_610218.1
XP_063826250.1	NP_609646.1
XP_063826256.1	NP_726252.1
XP_063826263.1	NP_725602.1
XP_063826275.1	NP_611457.1
XP_063826276.1	NP_611720.3
XP_063826278.1	NP_788426.1
XP_063826280.1	NP_608944.1
XP_063826281.1	NP_001097339.1
XP_063826282.1	NP_788468.1
XP_063826285.1	NP_572951.1
XP_063826286.1	NP_608740.2
XP_063826292.1	NP_731186.2
XP_063826293.1	NP_649831.1
XP_063826294.1	NP_788485.1
XP_063826295.1	NP_572866.1
XP_063826298.1	NP_523977.2
XP_063826299.1	NP_572857.1
XP_063826309.1	NP_648639.1
XP_063826311.1	NP_609404.2
XP_063826313.1	NP_524458.1
XP_063826315.1	NP_569906.1
XP_063826316.1	NP_524365.1
XP_063826317.1	NP_477240.1
XP_063826322.1	NP_652562.2
XP_063826323.1	NP_573296.2
XP_063826324.1	NP_511160.2
XP_063826325.1	NP_523933.3
XP_063826326.1	NP_647947.1
XP_063826335.1	NP_650375.1
XP_063826336.1	NP_609503.2
XP_063826337.1	NP_524274.1
XP_063826338.1	NP_001096854.1
XP_063826339.1	NP_609040.1
XP_063826340.1	NP_610976.1
XP_063826343.1	NP_610851.2
XP_063826344.1	NP_611709.1
XP_063826349.1	NP_609402.1
XP_063826350.1	NP_476938.1
XP_063826351.1	NP_001033842.2
XP_063826352.1	NP_524695.2
XP_063826353.1	NP_651659.2
XP_063826358.1	NP_733236.1
XP_063826362.1	NP_650926.1
XP_063826363.1	NP_651184.1
XP_063826366.1	NP_650945.1
XP_063826367.1	NP_649840.1
XP_063826368.1	NP_477411.1
XP_063826373.1	NP_650922.1
XP_063826382.1	NP_523898.1
XP_063826385.1	NP_651358.4
XP_063826389.1	NP_610092.2
XP_063826390.1	NP_611740.1
XP_063826393.1	NP_610997.1
XP_063826395.1	NP_608521.1
XP_063826403.1	NP_648127.1
XP_063826411.1	NP_524378.1
XP_063826412.1	NP_650694.2
XP_063826420.1	NP_477501.1
XP_063826422.1	NP_610275.2
XP_063826424.1	NP_612011.1
XP_063826426.1	NP_569873.1
XP_063826433.1	NP_611236.2
XP_063826434.1	NP_611559.1
XP_063826435.1	NP_650544.1
XP_063826436.1	NP_001027417.1
XP_063826438.1	NP_652380.2
XP_063826440.1	NP_649318.1
XP_063826441.1	NP_572160.1
XP_063826442.1	NP_725343.1
XP_063826443.1	NP_730506.1
XP_063826444.1	NP_649355.1
XP_063826450.1	NP_648333.1
XP_063826454.1	NP_651007.1
XP_063826455.1	NP_649833.1
XP_063826456.1	NP_650492.2
XP_063826457.1	NP_610754.1
XP_063826460.1	NP_523844.2
XP_063826461.1	NP_649200.2
XP_063826468.1	NP_610983.1
XP_063826469.1	NP_649554.1
XP_063826470.1	NP_573181.1
XP_063826471.1	NP_572819.4
XP_063826473.1	NP_609013.1
XP_063826474.1	NP_788082.1
XP_063826475.1	NP_608770.4
XP_063826476.1	NP_609067.2
XP_063826478.1	NP_611296.2
XP_063826481.1	NP_001015349.2
XP_063826484.1	NP_523401.2
XP_063826486.1	NP_610043.1
XP_063826487.1	NP_612069.1
XP_063826490.1	NP_524813.2
XP_063826495.1	NP_524844.6
XP_063826499.1	NP_511114.2
XP_063826500.1	NP_651329.4
XP_063826504.1	NP_524395.2
XP_063826505.1	NP_651525.1
XP_063826508.1	NP_611064.2
XP_063826511.1	NP_788448.1
XP_063826515.1	NP_651714.1
XP_063826518.1	NP_610900.1
XP_063826520.1	NP_652063.1
XP_063826522.1	NP_612084.1
XP_063826524.1	NP_648107.3
XP_063826526.1	NP_648976.2
XP_063826530.1	NP_652013.1
XP_063826534.1	NP_788911.2
XP_063826535.1	NP_573230.1
XP_063826536.1	NP_511089.2
XP_063826537.1	NP_649905.1
XP_063826538.1	NP_524777.1
XP_063826540.1	NP_523735.2
XP_063826546.1	NP_477379.1
XP_063826549.1	NP_525065.1
XP_063826553.1	NP_650398.3
XP_063826554.1	NP_476778.1
XP_063826556.1	NP_572775.1
XP_063826557.1	NP_648945.1
XP_063826558.1	NP_611383.1
XP_063826559.1	NP_572405.2
XP_063826561.1	NP_610986.1
XP_063826563.1	NP_572870.2
XP_063826565.1	NP_610121.2
XP_063826567.1	NP_650781.2
XP_063826572.1	NP_651655.1
XP_063826577.1	NP_573046.1
XP_063826578.1	NP_649069.2
XP_063826580.1	NP_608426.1
XP_063826582.1	NP_573044.1
XP_063826583.1	NP_649086.2
XP_063826588.1	NP_650214.1
XP_063826590.1	NP_001036690.1
XP_063826591.1	NP_611427.1
XP_063826592.1	NP_524154.2
XP_063826593.1	NP_648542.1
XP_063826594.1	NP_611260.1
XP_063826595.1	NP_731964.2
XP_063826596.1	NP_648352.2
XP_063826597.1	NP_477177.1
XP_063826598.1	NP_572760.1
XP_063826600.1	NP_651614.1
XP_063826602.1	NP_650491.1
XP_063826603.1	NP_611922.1
XP_063826605.1	NP_476977.1
XP_063826606.1	NP_611986.2
XP_063826607.1	NP_728868.1
XP_063826608.1	NP_611608.1
XP_063826612.1	NP_610940.1
XP_063826615.1	NP_001097457.1
XP_063826621.1	NP_788611.1
XP_063826622.1	NP_524495.1
XP_063826623.1	NP_612061.2
XP_063826626.1	NP_651884.1
XP_063826628.1	NP_523628.1
XP_063826629.1	NP_611947.2
XP_063826631.1	NP_610188.2
XP_063826632.1	NP_649378.1
XP_063826633.1	NP_726444.2
XP_063826634.1	NP_608863.2
XP_063826636.1	NP_649914.1
XP_063826641.1	NP_611831.2
XP_063826642.1	NP_572440.1
XP_063826647.1	NP_476709.1
XP_063826650.1	NP_611917.2
XP_063826652.1	NP_536735.2
XP_063826656.1	NP_611793.3
XP_063826658.1	NP_609494.1
XP_063826666.1	NP_610696.1
XP_063826670.1	NP_572939.1
XP_063826671.1	NP_726662.1
XP_063826672.1	NP_608861.2
XP_063826677.1	NP_610701.2
XP_063826680.1	NP_570016.1
XP_063826684.1	NP_572699.2
XP_063826689.1	NP_650047.3
XP_063826690.1	NP_523774.1
XP_063826693.1	NP_523514.1
XP_063826697.1	NP_652187.1
XP_063826698.1	NP_523778.2
XP_063826699.1	NP_572516.1
XP_063826700.1	NP_523448.2
XP_063826706.1	NP_001259608.1
XP_063826707.1	NP_647780.1
XP_063826708.1	NP_648832.1
XP_063826709.1	NP_650458.1
XP_063826710.1	NP_649841.1
XP_063826711.1	NP_001015254.1
XP_063826716.1	NP_524848.1
XP_063826720.1	NP_523777.1
XP_063826721.1	NP_477224.1
XP_063826723.1	NP_001027422.1
XP_063826725.1	NP_573289.2
XP_063826729.1	NP_651408.1
XP_063826731.1	NP_648828.3
XP_063826733.1	NP_730096.2
XP_063826737.1	NP_650925.1
XP_063826746.1	NP_650797.1
XP_063826748.1	NP_996132.1
XP_063826750.1	NP_001163314.1
XP_063826755.1	NP_523565.2
XP_063826762.1	NP_524101.2
XP_063826765.1	NP_608862.1
XP_063826766.1	NP_569979.1
XP_063826768.1	NP_524357.2
XP_063826769.1	NP_608586.2
XP_063826771.1	NP_651665.2
XP_063826772.1	NP_651271.1
XP_063826773.1	NP_649811.1
XP_063826774.1	NP_650083.1
XP_063826775.1	NP_524358.2
XP_063826776.1	NP_610418.1
XP_063826778.1	NP_572549.2
XP_063826780.1	NP_610721.2
XP_063826782.1	NP_650067.1
XP_063826783.1	NP_523662.1
XP_063826784.1	NP_610724.1
XP_063826787.1	NP_649690.1
XP_063826788.1	NP_650678.1
XP_063826789.1	NP_650528.1
XP_063826790.1	NP_652025.2
XP_063826791.1	NP_650527.2
XP_063826792.1	NP_524377.1
XP_063826793.1	NP_650525.1
XP_063826795.1	NP_610715.1
XP_063826796.1	NP_611451.1
XP_063826800.1	NP_731385.1
XP_063826801.1	NP_610426.2
XP_063826803.1	NP_523437.2
XP_063826808.1	NP_611175.1
XP_063826809.1	NP_524757.1
XP_063826810.1	NP_649194.1
XP_063826811.1	NP_650983.1
XP_063826812.1	NP_524081.1
XP_063826818.1	NP_725637.1
XP_063826819.1	NP_572414.1
XP_063826822.1	NP_788548.1
XP_063826824.1	NP_523620.1
XP_063826827.1	NP_524100.1
XP_063826828.1	NP_650514.1
XP_063826838.1	NP_610797.1
XP_063826839.1	NP_523797.1
XP_063826841.1	NP_648349.1
XP_063826842.1	NP_649375.1
XP_063826846.1	NP_572391.1
XP_063826847.1	NP_649519.1
XP_063826848.1	NP_523374.2
XP_063826849.1	NP_610093.1
XP_063826851.1	NP_524419.2
XP_063826853.1	NP_650955.1
XP_063826857.1	NP_609446.1
XP_063826858.1	NP_650954.1
XP_063826859.1	NP_788616.1
XP_063826860.1	NP_651673.1
XP_063826861.1	NP_610705.1
XP_063826862.1	NP_001097276.1
XP_063826863.1	NP_610703.3
XP_063826864.1	NP_610702.1
XP_063826865.1	NP_001286840.1
XP_063826866.1	NP_524368.5
XP_063826870.1	NP_609889.1
XP_063826872.1	NP_572778.1
XP_063826874.1	NP_611425.1
XP_063826876.1	NP_649202.1
XP_063826877.1	NP_649204.2
XP_063826878.1	NP_724630.3
XP_063826884.1	NP_476735.1
XP_063826885.1	NP_730974.1
XP_063826890.1	NP_611855.1
XP_063826891.1	NP_001027157.2
XP_063826897.1	NP_611557.2
XP_063826903.1	NP_610930.1
XP_063826904.1	NP_610929.2
XP_063826905.1	NP_650545.2
XP_063826906.1	NP_725407.1
XP_063826915.1	NP_726438.1
XP_063826916.1	NP_573119.1
XP_063826919.1	NP_572776.1
XP_063826920.1	NP_649534.1
XP_063826921.1	NP_572916.1
XP_063826925.1	NP_649070.1
XP_063826929.1	NP_650924.3
XP_063826930.1	NP_725536.1
XP_063826932.1	NP_650538.1
XP_063826933.1	NP_609414.3
XP_063826934.1	NP_523710.1
XP_063826936.1	NP_649374.1
XP_063826945.1	NP_611865.1
XP_063826955.1	NP_652413.1
XP_063826956.1	NP_729659.1
XP_063826957.1	NP_788494.1
XP_063826961.1	NP_477260.1
XP_063826962.1	NP_001014634.1
XP_063826963.1	NP_650013.3
XP_063826965.1	NP_650750.4
XP_063826966.1	NP_477004.5
XP_063826967.1	NP_650299.1
XP_063826969.1	NP_524907.2
XP_063826970.1	NP_524654.2
XP_063826972.1	NP_524420.1
XP_063826983.1	NP_649569.1
XP_063826990.1	NP_651054.1
XP_063826992.1	NP_524901.2
XP_063826998.1	NP_572742.1
XP_063826999.1	NP_651213.1
XP_063827000.1	NP_649159.1
XP_063827002.1	NP_524103.2
XP_063827003.1	NP_524476.1
XP_063827006.1	NP_733421.1
XP_063827012.1	NP_572748.2
XP_063827013.1	NP_524439.1
XP_063827019.1	NP_788657.1
XP_063827021.1	NP_001027071.1
XP_063827028.1	NP_650561.1
XP_063827029.1	NP_650729.1
XP_063827036.1	NP_651191.1
XP_063827039.1	NP_523881.1
XP_063827042.1	NP_524400.2
XP_063827043.1	NP_648094.1
XP_063827047.1	NP_524455.1
XP_063827049.1	NP_610037.1
XP_063827051.1	NP_650734.2
XP_063827056.1	NP_477201.1
XP_063827060.1	NP_651053.1
XP_063827069.1	NP_651752.1
XP_063827075.1	NP_524381.1
XP_063827079.1	NP_650285.1
XP_063827081.1	NP_001097964.1
XP_063827087.1	NP_001189223.1
XP_063827088.1	NP_650581.1
XP_063827096.1	NP_733086.2
XP_063827102.1	NP_731223.1
XP_063827110.1	NP_650744.1
XP_063827111.1	NP_650743.1
XP_063827112.1	NP_651216.2
XP_063827113.1	NP_572967.2
XP_063827117.1	NP_651037.1
XP_063827125.1	NP_001138061.1
XP_063827126.1	NP_611645.1
XP_063827127.1	NP_651840.1
XP_063827132.1	NP_610301.1
XP_063827135.1	NP_649747.1
XP_063827136.1	NP_732390.3
XP_063827139.1	NP_788733.1
XP_063827141.1	NP_001036718.1
XP_063827147.1	NP_572747.1
XP_063827148.1	NP_611752.1
XP_063827150.1	NP_524456.1
XP_063827156.1	NP_733314.1
XP_063827158.1	NP_650182.1
XP_063827165.1	NP_651135.1
XP_063827166.1	NP_651577.4
XP_063827172.1	NP_650735.3
XP_063827173.1	NP_477498.1
XP_063827191.1	NP_524521.1
XP_063827193.1	NP_648711.1
XP_063827200.1	NP_001015132.1
XP_063827202.1	NP_001138119.2
XP_063827208.1	NP_477397.1
XP_063827209.1	NP_524460.2
XP_063827210.1	NP_609449.1
XP_063827211.1	NP_650752.2
XP_063827213.1	NP_651199.2
XP_063827214.1	NP_650582.1
XP_063827215.1	NP_001014504.1
XP_063827216.1	NP_612034.1
XP_063827219.1	NP_732017.3
XP_063827220.1	NP_572743.1
XP_063827221.1	NP_001163647.1
XP_063827222.1	NP_477152.1
XP_063827224.1	NP_611891.1
XP_063827230.1	NP_651482.3
XP_063827233.1	NP_650554.3
XP_063827236.1	NP_650966.2
XP_063827237.1	NP_651668.1
XP_063827241.1	NP_476613.1
XP_063827245.1	NP_572448.1
XP_063827247.1	NP_611734.1
XP_063827250.1	NP_001015401.1
XP_063827251.1	NP_651778.1
XP_063827252.1	NP_647680.1
XP_063827253.1	NP_477170.1
XP_063827254.1	NP_524275.1
XP_063827255.1	NP_650762.1
XP_063827256.1	NP_732553.2
XP_063827259.1	NP_524744.2
XP_063827260.1	NP_476857.1
XP_063827261.1	NP_649517.1
XP_063827263.1	NP_651742.2
XP_063827269.1	NP_524384.3
XP_063827271.1	NP_610603.2
XP_063827274.1	NP_524326.1
XP_063827275.1	NP_001027215.1
XP_063827279.1	NP_650913.2
XP_063827286.1	NP_651215.1
XP_063827287.1	NP_649937.1
XP_063827288.1	NP_524450.2
XP_063827289.1	NP_733403.1
XP_063827290.1	NP_651052.1
XP_063827291.1	NP_651214.2
XP_063827292.1	NP_732549.2
XP_063827294.1	NP_723702.1
XP_063827298.1	NP_733139.1
XP_063827302.1	NP_788299.3
XP_063827304.1	NP_649803.1
XP_063827309.1	NP_651849.1
XP_063827316.1	NP_649950.1
XP_063827318.1	NP_611611.1
XP_063827327.1	NP_524605.1
XP_063827328.1	NP_732964.1
XP_063827330.1	NP_651220.3
XP_063827331.1	NP_609398.2
XP_063827333.1	NP_511130.2
XP_063827335.1	NP_524386.1
XP_063827343.1	NP_611535.1
XP_063827361.1	NP_001097756.1
XP_063827362.1	NP_609475.1
XP_063827367.1	NP_524441.2
XP_063827368.1	NP_650187.2
XP_063827369.1	NP_572437.2
XP_063827375.1	NP_651959.1
XP_063827376.1	NP_650776.1
XP_063827378.1	NP_647660.1
XP_063827379.1	NP_573258.1
XP_063827382.1	NP_649876.1
XP_063827383.1	NP_524278.1
XP_063827389.1	NP_477247.1
XP_063827392.1	NP_572968.1
XP_063827393.1	NP_650183.1
XP_063827397.1	NP_730622.1
XP_063827398.1	NP_650205.1
XP_063827399.1	NP_651545.2
XP_063827400.1	NP_573331.1
XP_063827405.1	NP_723828.1
XP_063827408.1	NP_609596.1
XP_063827409.1	NP_572754.1
XP_063827410.1	NP_649951.1
XP_063827413.1	NP_651733.1
XP_063827415.1	NP_733311.2
