Gene ID	Protein accession	drosophila_melanogaster	NCBI GeneID	Symbol	Description
135072243	XP_063822256.1				
135071761	XP_063821620.1	NP_610229.1	35576.0	Mob4	MOB kinase activator 4
135071762	XP_063821621.1	NP_610227.2	35574.0	Rpp25	Ribonuclease P/MRP subunit p25
135072244	XP_063822257.1				
135071778	XP_063821668.1	NP_724489.1	246620.0	Tdc2	Tyrosine decarboxylase 2
135071784	XP_063821680.1				
135071766	XP_063821630.1	NP_609790.1	34970.0	CG4278	uncharacterized protein
135071764	XP_063821627.1				
135071765	XP_063821629.1	NP_610996.1	36655.0	Ciao1	Ciao1
135071763	XP_063821622.1	NP_001097127.1	5740462.0	CG34398	uncharacterized protein
135072246	XP_063822258.1	NP_727152.1	50395.0	sloth1	sloth 1
135072247	XP_063822259.1	NP_001138171.1	7354414.0	sloth2	sloth 2
135071801	XP_063821701.1	NP_572467.1	31763.0	CG1632	uncharacterized protein
135071795	XP_063821692.1	NP_728896.1	38438.0	CG32264	uncharacterized protein
135071798	XP_063821696.1	NP_523941.2	38654.0	S6k	Ribosomal protein S6 kinase
135071797	XP_063821693.1	NP_610105.2	35402.0	Mondo	mondo
135071799	XP_063821698.1	NP_001334732.1	34350.0	Sur	Sulfonylurea receptor
135071802	XP_063821702.1	NP_477213.1	33253.0	Pkg21D	Protein kinase, cGMP-dependent at 21D
135072128	XP_063822151.1	NP_729614.2	39198.0	Rbfox1	RNA-binding Fox protein 1
135071800	XP_063821699.1	NP_524793.2	44885.0	mys	myospheroid
135071805	XP_063821704.1	NP_476590.1	36810.0	Khc	Kinesin heavy chain
135071806	XP_063821705.1	NP_609607.1	34710.0	CG5439	uncharacterized protein
135071808	XP_063821708.1	NP_649251.2	40292.0	Pitslre	pitslre
135071811	XP_063821712.1	NP_609257.3	3771738.0	Argl	Argininosuccinate lyase
135071810	XP_063821710.1	NP_608464.1	33134.0	CG14618	uncharacterized protein
135071809	XP_063821709.1	NP_649302.1	40357.0	CG7632	uncharacterized protein
135071807	XP_063821706.1	NP_001036422.1	3355116.0	Cht10	Chitinase 10
135071816	XP_063821713.1	NP_573287.1	32816.0	CG6106	uncharacterized protein
135071817	XP_063821714.1				
135072129	XP_063822152.1	NP_477287.1	34527.0	Nup154	Nucleoporin 154kD
135071819	XP_063821716.1				
135071818	XP_063821715.1	NP_573190.1	32693.0	CG8945	uncharacterized protein
135071822	XP_063821717.1	NP_523377.1	32640.0	r	rudimentary
135071823	XP_063821719.1	NP_573143.1	32641.0	CG15865	uncharacterized protein
135071824	XP_063821721.1				
135071825	XP_063821722.1	NP_573146.1	32644.0	sing	singles bar
135071826	XP_063821723.1	NP_572726.1	32098.0	CG1572	uncharacterized protein
135071827	XP_063821724.1	NP_572653.1	32006.0	CG15211	uncharacterized protein
135071828	XP_063821725.1	NP_524709.1	44150.0	RpS15Aa	Ribosomal protein S15Aa
135071830	XP_063821726.1	NP_477289.5	31017.0	sdk	sidekick
135071832	XP_063821729.1	NP_648782.2	39690.0	AIMP2	aaRS-interacting multifunctional protein 2
135071831	XP_063821728.1	NP_728505.1	44811.0	E(bx)	Enhancer of bithorax
135072252	XP_063822260.1	NP_651918.2	43785.0	Rad23	Rad23
135071835	XP_063821732.1	NP_996504.1	32817.0	CrebB	Cyclic-AMP response element binding protein B
135071859	XP_063821766.1				
135072253	XP_063822261.1				
135071836	XP_063821739.1				
135071837	XP_063821740.1	NP_609616.1	34719.0	CG9426	uncharacterized protein
135071860	XP_063821770.1				
135071862	XP_063821779.1				
135071857	XP_063821765.1	NP_649168.2	40188.0	Gabat	gamma-aminobutyric acid transaminase
135071861	XP_063821772.1	NP_725541.1	36797.0	mrj	mrj
135071855	XP_063821762.1				
135071856	XP_063821763.1	NP_611256.1	37019.0	Hyccin	hyccin
135071838	XP_063821741.1	NP_649160.1	40177.0	Grasp65	Grasp65
135071839	XP_063821742.1	NP_647678.3	38255.0	CG5687	uncharacterized protein
135071841	XP_063821743.1	NP_609157.3	34075.0	TwdlE	TweedleE
135071844	XP_063821748.1	NP_650773.1	42281.0	CG14285	uncharacterized protein
135071845	XP_063821749.1	NP_650774.1	42282.0	NP15.6	NP15.6
135071843	XP_063821745.1	NP_609965.1	35220.0	RtcB	RtcB RNA ligase
135071842	XP_063821744.1				
135071854	XP_063821759.1	NP_477012.1	33659.0	ine	inebriated
135071852	XP_063821756.1	NP_001245875.1	318824.0	dpy	dumpy
135072130	XP_063822153.1				
135071847	XP_063821751.1	NP_001027109.2	3772100.0	Pmi	Pmi
135071846	XP_063821750.1	NP_651717.1	43502.0	CG7601	uncharacterized protein
135072131	XP_063822154.1	NP_001036451.1	3355136.0	Nipped-B	Nipped-B
135071864	XP_063821780.1				
135072254	XP_063822263.1				
135071848	XP_063821752.1	NP_649826.3	41043.0	CG8202	uncharacterized protein
135071849	XP_063821754.1	NP_569918.1	31100.0	CG14778	uncharacterized protein
135071851	XP_063821755.1	NP_730508.1	40229.0	Pex23	Peroxin 23
135071853	XP_063821757.1	NP_608534.2	33235.0	Sf3b1	Splicing factor 3b subunit 1
135071870	XP_063821782.1	NP_523781.2	37116.0	Dp1	Dodeca-satellite-binding protein 1
135072255	XP_063822265.1	NP_651459.2	43168.0	PIG-P	Phosphatidylinositol glycan anchor biosynthesis class P
135071871	XP_063821783.1	NP_727985.2	8674098.0	CanA-14F	Calcineurin A at 14F
135072256	XP_063822266.1	NP_651362.1	43042.0	CG11857	uncharacterized protein
135071872	XP_063821784.1	NP_647629.1	38187.0	CG12104	uncharacterized protein
135071874	XP_063821790.1	NP_651318.3	42990.0	tnc	tenectin
135071875	XP_063821791.1	NP_651321.1	42994.0	Smg6	Smg6
135071876	XP_063821795.1				
135071891	XP_063821818.1				
135071886	XP_063821807.1	NP_524492.2	42986.0	ssh	slingshot
135071889	XP_063821815.1	NP_649324.1	40384.0	SAK	Sak kinase
135071893	XP_063821821.1	NP_523886.1	38208.0	RpL23A	Ribosomal protein L23A
135071878	XP_063821796.1	NP_477158.1	33883.0	Cpr	Cytochrome P450 reductase
135071879	XP_063821798.1	NP_572221.1	31459.0	spoon	spoonbill
135072258	XP_063822270.1	NP_524728.2	44260.0	eIF1A	eukaryotic translation initiation factor 1A
135072259	XP_063822271.1				
135071888	XP_063821809.1	NP_524133.2	39999.0	Eip75B	Ecdysone-induced protein 75B
135071887	XP_063821808.1	NP_573099.1	32568.0	CG8939	uncharacterized protein
135071881	XP_063821802.1	NP_648205.1	38936.0	BI-1	Bax Inhibitor-1
135071882	XP_063821803.1	NP_608507.1	33190.0	Dus1	Dihydrouridine synthase 1
135071883	XP_063821805.1	NP_650124.1	41436.0	CG6962	uncharacterized protein
135071884	XP_063821806.1	NP_523706.1	36289.0	Polr3B	RNA polymerase III subunit B
135071890	XP_063821816.1	NP_651205.2	42845.0	Miro	Mitochondrial Rho
135072134	XP_063822155.1	NP_523365.2	32587.0	caz	cabeza
135071894	XP_063821822.1	NP_573325.1	32869.0	CG6961	uncharacterized protein
135071897	XP_063821829.1				
135071895	XP_063821825.1	NP_648621.1	39475.0	MICAL-like	MICAL-like
135072135	XP_063822157.1				
135071898	XP_063821830.1				
135072261	XP_063822272.1				
135071912	XP_063821848.1				
135071913	XP_063821850.1				
135071907	XP_063821840.1	NP_609783.1	34957.0	pkaap	pkaap
135072136	XP_063822158.1				
135071900	XP_063821832.1				
135071899	XP_063821831.1	NP_610087.2	35375.0	CG9257	uncharacterized protein
135071911	XP_063821847.1				
135071909	XP_063821845.1	NP_647713.2	38298.0	MsR1	Myosuppressin receptor 1
135071905	XP_063821838.1	NP_523626.2	35552.0	bin3	bicoid-interacting protein 3
135071906	XP_063821839.1	NP_476651.1	43517.0	ncd	non-claret disjunctional
135071908	XP_063821841.1	NP_609313.2	34300.0	IP3K1	Inositol 1,4,5-triphosphate kinase 1
135072080	XP_063822098.1				
135072081	XP_063822099.1				
135071902	XP_063821834.1	NP_001285631.1	19836250.0	Cyp6a16	Cytochrome P450 6a16
135071903	XP_063821835.1	NP_610452.2	35921.0	CG8777	uncharacterized protein
135071904	XP_063821836.1	NP_569978.1	31176.0	CG4045	uncharacterized protein
135072137	XP_063822159.1	NP_611574.5	37433.0	Arms	Ankyrin repeat-rich membrane spanning
135071914	XP_063821852.1	NP_572901.1	32315.0	CG11178	uncharacterized protein
135072138	XP_063822160.1	NP_570073.3	318206.0	Tlk	Tousled-like kinase
135072139	XP_063822161.1	NP_511156.2	32406.0	rut	rutabaga
135072140	XP_063822162.1				
135071915	XP_063821853.1	NP_001036283.1	32703.0	baz	bazooka
135071920	XP_063821863.1	NP_788900.1	32343.0	inaE	inactivation no afterpotential E
135071921	XP_063821866.1				
135072082	XP_063822100.1	NP_611726.1	37627.0	CG13531	uncharacterized protein
135071923	XP_063821874.1				
135071922	XP_063821872.1				
135072266	XP_063822273.1	NP_724409.3	246616.0	IFT20	Intraflagellar transport 20
135071916	XP_063821854.1	NP_610169.1	35492.0	CG10417	uncharacterized protein
135071918	XP_063821858.1	NP_610165.1	35488.0	CG10465	uncharacterized protein
135071919	XP_063821859.1	NP_610167.3	35490.0	CG10395	uncharacterized protein
135072267	XP_063822274.1	NP_788409.1	37161.0	Hs3st-A	Heparan sulfate 3-O sulfotransferase-A
135071925	XP_063821876.1	NP_572439.1	31729.0	CG2258	uncharacterized protein
135071927	XP_063821882.1	NP_610221.1	35568.0	CG9410	uncharacterized protein
135071926	XP_063821877.1	NP_610808.1	36395.0	nemy	no extended memory
135071924	XP_063821875.1	NP_610786.2	36365.0	CG8545	uncharacterized protein
135071928	XP_063821883.1	NP_610224.1	35571.0	CG17266	uncharacterized protein
135071929	XP_063821885.1	NP_729327.1	38895.0	Sarm	Sterile alpha and Armadillo motif
135071930	XP_063821889.1	NP_611980.1	37986.0	CG30427	uncharacterized protein
135071931	XP_063821891.1				
135071942	XP_063821907.1				
135071946	XP_063821911.1	NP_724456.1	35540.0	EcR	Ecdysone receptor
135071932	XP_063821892.1				
135072142	XP_063822164.1				
135071935	XP_063821894.1	NP_610209.2	35546.0	Ptr	Patched-related
135072143	XP_063822165.1				
135071934	XP_063821893.1	NP_725497.1	246445.0	Rif1	Rap1 interacting factor 1
135071936	XP_063821895.1	NP_610749.3	36324.0	CG8854	uncharacterized protein
135072269	XP_063822278.1				
135071938	XP_063821896.1	NP_648212.1	38944.0	CG7182	uncharacterized protein
135072144	XP_063822166.1	NP_511055.1	31544.0	Mipp2	Multiple inositol polyphosphate phosphatase 2
135072270	XP_063822279.1	NP_727768.1	318108.0	CG32599	uncharacterized protein
135071944	XP_063821909.1	NP_569837.2	30976.0	CG13375	uncharacterized protein
135071940	XP_063821900.1				
135071945	XP_063821910.1	NP_609845.1	35057.0	CG5131	uncharacterized protein
135071941	XP_063821905.1	NP_573368.2	32916.0	CG7889	uncharacterized protein
135071939	XP_063821897.1	NP_651070.3	42669.0	CG31156	uncharacterized protein
135072145	XP_063822167.1				
135071959	XP_063821932.1	NP_647859.1	38489.0	Ack	Activated Cdc42 kinase
135071955	XP_063821920.1	NP_608562.4	33277.0	IA-2	IA-2 protein tyrosine phosphatase
135071956	XP_063821929.1	NP_609836.1	35043.0	Polr2J	RNA polymerase II subunit J
135071947	XP_063821913.1	NP_608420.1	33076.0	CG1532	uncharacterized protein
135072146	XP_063822168.1	NP_573328.2	32874.0	CG42450	uncharacterized protein
135071948	XP_063821914.1				
135071949	XP_063821915.1	NP_724707.1	246563.0	CG30357	uncharacterized protein
135072083	XP_063822101.1				
135071953	XP_063821918.1	NP_609305.1	34287.0	CG4364	uncharacterized protein
135071954	XP_063821919.1	NP_476982.1	34286.0	pelo	pelota
135071957	XP_063821931.1	NP_609835.2	35042.0	CLIP-190	Cytoplasmic linker protein 190
135071961	XP_063821937.1	NP_524475.1	42854.0	Syx1A	Syntaxin 1A
135071960	XP_063821933.1	NP_651969.1	44072.0	Ran	Ran
135072272	XP_063822281.1	NP_524752.1	44438.0	mEFTu1	mitochondrial translation elongation factor Tu 1
135071962	XP_063821938.1	NP_647623.1	38181.0	CG12099	uncharacterized protein
135072273	XP_063822282.1				
135071963	XP_063821939.1	NP_523782.1	37121.0	slim	scruin like at the midline
135071969	XP_063821946.1	NP_651772.1	43583.0	AdoR	Adenosine receptor
135072275	XP_063822283.1				
135071972	XP_063821947.1				
135071964	XP_063821940.1				
135071965	XP_063821941.1	NP_608518.1	33206.0	CG11911	uncharacterized protein
135071967	XP_063821942.1	NP_610170.2	35494.0	stw	straw
135072276	XP_063822285.1				
135072277	XP_063822288.1				
135072279	XP_063822289.1	NP_523619.2	35473.0	TpnC41C	Troponin C at 41C
135071968	XP_063821944.1				
135072280	XP_063822290.1				
135071974	XP_063821950.1	NP_610346.1	35768.0	CG14762	uncharacterized protein
135072281	XP_063822291.1				
135072147	XP_063822169.1				
135072148	XP_063822170.1				
135072149	XP_063822172.1				
135072150	XP_063822173.1				
135072151	XP_063822174.1				
135072152	XP_063822175.1				
135072282	XP_063822292.1				
135072153	XP_063822176.1				
135071973	XP_063821948.1				
135071975	XP_063821951.1	NP_476832.1	49297.0	SERCA	Sarco/endoplasmic reticulum Ca(2+)-ATPase
135071978	XP_063821959.1	NP_572535.1	31855.0	CG12056	uncharacterized protein
135071977	XP_063821958.1	NP_649565.1	40692.0	CG12170	uncharacterized protein
135071976	XP_063821957.1	NP_649570.1	40697.0	CG2182	uncharacterized protein
135071979	XP_063821960.1	NP_648057.2	38749.0	Sbds	SBDS ribosome maturation factor
135072154	XP_063822178.1				
135071983	XP_063821965.1	NP_001137972.1	7354371.0	CG42374	uncharacterized protein
135071981	XP_063821963.1	NP_649098.2	40096.0	Mettl5	Methyltransferase like 5
135071980	XP_063821961.1	NP_649099.1	40097.0	Aldh7A1	Aldehyde dehydrogenase 7 family member A1
135071982	XP_063821964.1	NP_610220.1	35567.0	CG15908	uncharacterized protein
135071985	XP_063821967.1	NP_569949.3	31141.0	Pex5	Peroxin 5
135071984	XP_063821966.1	NP_649904.2	41148.0	CG9386	uncharacterized protein
135071987	XP_063821969.1	NP_788950.2	33137.0	l(1)G0196	lethal (1) G0196
135071986	XP_063821968.1	NP_650570.1	42027.0	Arl6IP1	ADP-ribosylation factor-like 6 interacting protein 1
135072283	XP_063822294.1				
135072155	XP_063822179.1	NP_609899.1	35126.0	CG10376	uncharacterized protein
135072156	XP_063822180.1	NP_610918.1	36548.0	St4	Sulfotransferase 4
135072157	XP_063822181.1				
135072284	XP_063822295.1				
135072158	XP_063822182.1				
135072159	XP_063822183.1				
135072000	XP_063821988.1				
135072285	XP_063822296.1	NP_609984.2	35244.0	CG13082	uncharacterized protein
135072286	XP_063822297.1	NP_609985.1	35245.0	CG13081	uncharacterized protein
135072160	XP_063822184.1				
135072287	XP_063822298.1	NP_523954.2	38786.0	corn	cornetto
135072161	XP_063822186.1				
135072162	XP_063822187.1				
135071988	XP_063821971.1	NP_647989.2	38652.0	Bre1	Bre1
135071989	XP_063821972.1	NP_647848.2	38473.0	CG11594	uncharacterized protein
135071990	XP_063821974.1	NP_477249.3	31011.0	Dredd	Death related ced-3/Nedd2-like caspase
135071991	XP_063821975.1	NP_725560.1	246457.0	CG30100	uncharacterized protein
135072288	XP_063822299.1				
135072163	XP_063822188.1				
135072001	XP_063821990.1	NP_001015121.3	3354888.0	rl	rolled
135071992	XP_063821976.1	NP_611273.1	37040.0	Orai	orai
135071994	XP_063821982.1	NP_726512.1	246609.0	CG30429	uncharacterized protein
135071993	XP_063821981.1	NP_524537.1	43345.0	mRpS22	mitochondrial ribosomal protein S22
135071997	XP_063821985.1	NP_611929.1	37919.0	CG4622	uncharacterized protein
135072002	XP_063821992.1	NP_611928.1	37918.0	CG13585	uncharacterized protein
135071995	XP_063821983.1	NP_523763.2	36849.0	DAT	Dopamine transporter
135071996	XP_063821984.1				
135072290	XP_063822301.1	NP_648406.1	39210.0	CG8003	uncharacterized protein
135072164	XP_063822189.1	NP_648283.1	39039.0	Doc1	Dorsocross1
135072165	XP_063822190.1	NP_648279.1	39035.0	CG5087	uncharacterized protein
135071998	XP_063821986.1	NP_523967.2	38890.0	nmo	nemo
135072027	XP_063822021.1				
135072026	XP_063822020.1				
135072022	XP_063822016.1				
135072003	XP_063821993.1				
135072291	XP_063822302.1				
135072166	XP_063822191.1				
135072004	XP_063821994.1				
135072025	XP_063822019.1				
135072005	XP_063821995.1				
135072292	XP_063822303.1				
135072006	XP_063821996.1				
135072293	XP_063822304.1				
135072007	XP_063821997.1				
135072028	XP_063822024.1				
135072084	XP_063822103.1				
135072008	XP_063821998.1				
135072167	XP_063822192.1				
135072168	XP_063822194.1				
135072010	XP_063821999.1	NP_001036421.1	3355131.0	cta	concertina
135072011	XP_063822000.1	NP_788084.1	35454.0	Tif-IA	Tif-IA
135072012	XP_063822001.1	NP_572964.1	32394.0	CG14414	uncharacterized protein
135072301	XP_063822305.1	NP_650794.1	42309.0	Polr2M	RNA polymerase II subunit M
135072014	XP_063822004.1	NP_612042.3	38074.0	CG13893	uncharacterized protein
135072013	XP_063822003.1	NP_609111.1	34014.0	gudu	gudu
135072015	XP_063822005.1	NP_608930.1	43938.0	cl	clot
135072016	XP_063822006.1				
135072019	XP_063822012.1	NP_647641.1	38205.0	CG7970	uncharacterized protein
135072017	XP_063822007.1				
135072021	XP_063822014.1	NP_648557.1	39394.0	thoc6	thoc6
135072020	XP_063822013.1	NP_647649.2	38214.0	CG7991	uncharacterized protein
135072023	XP_063822017.1	NP_647645.1	38210.0	CG13930	uncharacterized protein
135072024	XP_063822018.1	NP_609186.1	34110.0	Rbsn-5	Rabenosyn-5
135072029	XP_063822025.1	NP_649026.1	39998.0	CG5290	uncharacterized protein
135072031	XP_063822026.1	NP_611422.2	37239.0	CG7744	uncharacterized protein
135072032	XP_063822027.1				
135072039	XP_063822036.1				
135072040	XP_063822037.1	NP_572574.2	31905.0	Hecw	Hecw ubiquitin protein ligase
135072037	XP_063822032.1	NP_523572.1	34885.0	vig	vasa intronic gene
135072033	XP_063822028.1				
135072034	XP_063822029.1				
135072038	XP_063822034.1	NP_573175.2	32678.0	Polr3I	RNA polymerase III subunit I
135072041	XP_063822038.1				
135072036	XP_063822030.1	NP_996411.2	32097.0	Drak	Death-associated protein kinase related
135072169	XP_063822195.1				
135072170	XP_063822196.1	NP_572401.2	31680.0	Hira	hira
135072042	XP_063822039.1	NP_523658.1	35774.0	sut1	sugar transporter 1
135072044	XP_063822045.1				
135072045	XP_063822046.1	NP_610933.1	36566.0	CG8323	uncharacterized protein
135072043	XP_063822043.1				
135072046	XP_063822047.1	NP_733347.1	318562.0	CG31029	uncharacterized protein
135072171	XP_063822198.1				
135072065	XP_063822080.1	NP_609086.1	33973.0	Gas41	Gas41
135072172	XP_063822199.1	NP_572909.1	32324.0	CG15760	uncharacterized protein
135072173	XP_063822200.1	NP_573354.1	32902.0	CG7556	uncharacterized protein
135072174	XP_063822201.1	NP_524060.2	39529.0	Hml	Hemolectin
135072175	XP_063822202.1				
135072085	XP_063822104.1				
135072047	XP_063822049.1				
135072049	XP_063822053.1	NP_572209.1	31438.0	CG42749	uncharacterized protein
135072050	XP_063822056.1	NP_608325.1	32954.0	CG14220	uncharacterized protein
135072052	XP_063822058.1	NP_611010.4	36674.0	pcs	parcas
135072051	XP_063822057.1	NP_788612.1	261329.0	CG8176	uncharacterized protein
135072062	XP_063822074.1	NP_609961.2	35213.0	CG17544	uncharacterized protein
135072061	XP_063822069.1	NP_523567.5	34850.0	osp	outspread
135072053	XP_063822059.1				
135072304	XP_063822307.1	NP_608984.2	33849.0	IPIP	Inositol phosphatase interacting protein
135072176	XP_063822203.1				
135072177	XP_063822204.1				
135072179	XP_063822205.1				
135072086	XP_063822105.1	NP_524653.1	43906.0	skd	skuld
135072305	XP_063822308.1	NP_648092.1	38796.0	mRpL50	mitochondrial ribosomal protein L50
135072087	XP_063822106.1	NP_647789.2	38395.0	hob	hobbit
135072054	XP_063822061.1	NP_523378.2	32661.0	if	inflated
135072055	XP_063822064.1				
135072088	XP_063822107.1				
135072089	XP_063822108.1	NP_608982.2	33844.0	CG9109	uncharacterized protein
135072057	XP_063822066.1	NP_609027.3	33898.0	Acox3	Acyl-CoA oxidase 3
135072056	XP_063822065.1				
135072306	XP_063822309.1				
135072059	XP_063822067.1	NP_648455.2	39269.0	Ir68a	Ionotropic receptor 68a
135072060	XP_063822068.1	NP_476749.1	41446.0	aurA	aurora A
135072307	XP_063822310.1	NP_609900.1	35127.0	CG10343	uncharacterized protein
135072090	XP_063822109.1	NP_608823.2	33637.0	CG15429	uncharacterized protein
135072063	XP_063822075.1	NP_477416.1	33638.0	Traf4	TNF-receptor-associated factor 4
135072308	XP_063822311.1	NP_608826.4	33641.0	Psf2	Partner of Sld Five 2
135072180	XP_063822206.1				
135072309	XP_063822312.1				
135072072	XP_063822085.1	NP_524733.2	44272.0	tio	tiptop
135072069	XP_063822082.1	NP_724363.1	35427.0	CG31612	uncharacterized protein
135072070	XP_063822083.1	NP_608724.1	33486.0	CG3104	uncharacterized protein
135072312	XP_063822313.1	NP_573239.1	32753.0	CG8173	uncharacterized protein
135072071	XP_063822084.1				
135072073	XP_063822088.1	NP_649039.4	40019.0	AstC-R2	Allatostatin C receptor 2
135072075	XP_063822093.1	NP_511143.2	32268.0	Bap60	Brahma associated protein 60kD
135072181	XP_063822208.1				
135072074	XP_063822091.1				
135072316	XP_063822314.1	NP_573237.2	32751.0	CG8188	uncharacterized protein
135072182	XP_063822209.1				
135072183	XP_063822210.1				
135072759	XP_063822866.1	NP_608822.1	33635.0	bdl	borderless
135072353	XP_063822318.1	NP_511049.1	31474.0	Mlc-c	Myosin light chain cytoplasmic
135072760	XP_063822867.1	NP_477011.1	34993.0	grp	grapes
135072761	XP_063822868.1	NP_609450.1	34485.0	CG17124	uncharacterized protein
135072762	XP_063822869.1	NP_609451.1	34486.0	CG6495	uncharacterized protein
135072763	XP_063822870.1				
135072764	XP_063822871.1				
135072765	XP_063822872.1	NP_476916.4	33757.0	Nin	Ninein
135072357	XP_063822320.1	NP_572361.1	31630.0	Cht11	Chitinase 11
135072766	XP_063822873.1				
135072360	XP_063822322.1	NP_476614.1	34910.0	lace	lace
135072361	XP_063822323.1	NP_787983.1	33721.0	Rtnl1	Reticulon-like1
135072767	XP_063822874.1	NP_649074.2	40065.0	Ir75d	Ionotropic receptor 75d
135072768	XP_063822875.1				
135072770	XP_063822876.1				
135072362	XP_063822330.1	NP_609247.1	34197.0	Trs23	TRAPP subunit 23
135072364	XP_063822331.1	NP_649326.1	40386.0	CG7611	uncharacterized protein
135072858	XP_063822966.1	NP_477040.1	33435.0	oaf	out at first
135072859	XP_063822967.1	NP_731803.1	318249.0	mRpS21	mitochondrial ribosomal protein S21
135072771	XP_063822877.1				
135072365	XP_063822332.1	NP_609529.2	34608.0	CG6686	uncharacterized protein
135072772	XP_063822878.1				
135072773	XP_063822880.1	NP_647681.2	38259.0	mv	mauve
135072774	XP_063822881.1				
135072862	XP_063822968.1				
135072863	XP_063822970.1				
135072366	XP_063822333.1	NP_650307.2	41678.0	ninaB	neither inactivation nor afterpotential B
135072775	XP_063822882.1				
135072368	XP_063822336.1				
135072369	XP_063822338.1				
135072864	XP_063822972.1				
135072776	XP_063822883.1				
135072777	XP_063822884.1	NP_608924.1	33766.0	Acsf2	Acyl-CoA synthetase family member 2
135072865	XP_063822974.1				
135072778	XP_063822885.1				
135072367	XP_063822335.1	NP_523483.2	33768.0	nompC	no mechanoreceptor potential C
135072866	XP_063822975.1				
135072780	XP_063822887.1				
135072370	XP_063822340.1				
135072372	XP_063822343.1				
135072374	XP_063822345.1	NP_650686.1	42175.0	MED17	Mediator complex subunit 17
135072373	XP_063822344.1				
135072375	XP_063822346.1	NP_608808.1	33604.0	bark	bark beetle
135072376	XP_063822348.1	NP_608519.2	33207.0	Ent1	Equilibrative nucleoside transporter 1
135072379	XP_063822351.1	NP_608494.2	33171.0	CG3164	uncharacterized protein
135072382	XP_063822359.1				
135072377	XP_063822350.1	NP_608864.1	33684.0	tank	tank
135072781	XP_063822888.1				
135072380	XP_063822356.1	NP_608493.2	33170.0	CG4822	uncharacterized protein
135072381	XP_063822358.1	NP_608773.2	33556.0	Pgant2	Polypeptide N-Acetylgalactosaminyltransferase 2
135072782	XP_063822889.1	NP_609156.1	34073.0	CG14535	uncharacterized protein
135072386	XP_063822364.1	NP_610575.1	36089.0	Ndg	Nidogen
135072391	XP_063822375.1	NP_001163347.1	38529.0	CG15012	uncharacterized protein
135072388	XP_063822367.1	NP_523924.1	38528.0	Hexo1	Hexosaminidase 1
135072390	XP_063822374.1	NP_523923.1	38527.0	TfIIEbeta	Transcription factor IIEbeta
135072389	XP_063822373.1				
135072385	XP_063822363.1				
135072384	XP_063822361.1	NP_649921.1	41167.0	SpdS	Spermidine Synthase
135072783	XP_063822890.1				
135072387	XP_063822366.1	NP_573125.1	32610.0	CG4301	uncharacterized protein
135072398	XP_063822377.1	NP_609220.1	34157.0	CG13392	uncharacterized protein
135072396	XP_063822376.1	NP_651201.1	42839.0	CG5902	uncharacterized protein
135072401	XP_063822381.1	NP_610101.3	35397.0	CG8677	uncharacterized protein
135072868	XP_063822976.1	NP_649209.1	40239.0	Rbbp5	Retinoblastoma binding protein 5
135072399	XP_063822378.1	NP_477321.2	31329.0	Parg	Poly(ADP-ribose) glycohydrolase
135072400	XP_063822379.1	NP_524059.4	39527.0	bru3	bruno 3
135073015	XP_063823083.1				
135072873	XP_063822977.1	NP_611428.1	37248.0	CG15120	uncharacterized protein
135072874	XP_063822978.1				
135072404	XP_063822382.1	NP_650055.1	41350.0	GCC88	GRIP and coiled-coil domain containing 88 kDa
135072405	XP_063822383.1				
135072426	XP_063822396.1	NP_523471.2	33636.0	Atet	ABC transporter expressed in trachea
135072877	XP_063822980.1				
135072878	XP_063822981.1				
135072424	XP_063822395.1	NP_523551.1	34582.0	kek2	kekkon 2
135072784	XP_063822891.1				
135072432	XP_063822402.1				
135072882	XP_063822982.1	NP_612086.1	38136.0	Psf1	Partner of Sld Five 1
135072409	XP_063822384.1	NP_476942.1	34969.0	cact	cactus
135072410	XP_063822385.1				
135072413	XP_063822386.1				
135072416	XP_063822387.1				
135072786	XP_063822892.1				
135072787	XP_063822893.1	NP_476851.2	33204.0	Plc21C	Phospholipase C at 21C
135072888	XP_063822985.1	NP_524795.2	44900.0	Larp7	La related protein 7
135072417	XP_063822388.1	NP_611469.1	37298.0	CG16868	uncharacterized protein
135072788	XP_063822894.1	NP_608498.3	33176.0	CG42399	uncharacterized protein
135072889	XP_063822986.1				
135072419	XP_063822390.1				
135072433	XP_063822403.1				
135072890	XP_063822988.1	NP_608734.2	33509.0	Ccdc85	Ccdc85
135072891	XP_063822989.1	NP_609609.1	34712.0	Rsph1	Radial spoke head protein 1
135072422	XP_063822392.1				
135072430	XP_063822400.1	NP_608828.2	33643.0	CG3652	uncharacterized protein
135072423	XP_063822394.1	NP_608827.1	33642.0	Tps1	Trehalose-6-phosphate synthase 1
135072893	XP_063822990.1				
135072427	XP_063822397.1	NP_788019.1	34322.0	CG5853	uncharacterized protein
135072789	XP_063822896.1	NP_608703.2	326154.0	CG31689	uncharacterized protein
135072895	XP_063822991.1	NP_609590.1	34685.0	Pih1D1	PIH1 domain containing 1
135072790	XP_063822897.1	NP_610273.1	35660.0	Eaf	ELL-associated factor
135072791	XP_063822898.1				
135072429	XP_063822399.1				
135072428	XP_063822398.1				
135072431	XP_063822401.1				
135072896	XP_063822992.1	NP_620471.3	40644.0	7B2	7B2
135072435	XP_063822404.1				
135072897	XP_063822993.1				
135072452	XP_063822428.1				
135072458	XP_063822436.1	NP_733162.2	43213.0	beat-VII	beaten path VII
