ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063825180.1	NP_649994.1	41259	CG6293	uncharacterized protein
XP_063825182.1	NP_611859.1	37814	Fmo-1	Flavin-containing monooxygenase 1
XP_063825185.1	NP_648551.3	39383	Atg12	Autophagy-related 12
XP_063825187.1	NP_732790.3	42687	wge	winged eye
XP_063825189.1	NP_650189.1	41520	Cyp9f2	Cytochrome P450 9f2
XP_063825198.1	NP_651084.1	42684	CG6972	uncharacterized protein
XP_063825200.1	NP_651407.3	43091	Npl4	Nuclear protein localization 4
XP_063825202.1	NP_648184.1	38913	Atg18a	Autophagy-related 18a
XP_063825210.1	NP_524490.2	42962	Esp	Epidermal stripes and patches
XP_063825217.1	NP_609535.1	34616	Wdr81	WD repeat domain 81
XP_063825220.1	NP_729679.2	39258	IRSp53	Insulin receptor substrate 53 kDa
XP_063825222.1	NP_610953.1	36593	CG8613	uncharacterized protein
XP_063825224.1	NP_651081.1	42681	cd	cardinal
XP_063825228.1	NP_608450.1	33108	CG1486	uncharacterized protein
XP_063825230.1	NP_001015119.2	3354890	CG40498	uncharacterized protein
XP_063825231.1	NP_651664.2	43433	Sirt7	Sirtuin 7
XP_063825232.1	NP_524177.1	40201	gig	gigas
XP_063825234.1	NP_001097972.3	43482	CG7568	uncharacterized protein
XP_063825235.1	NP_608470.1	33142	Cluap1	Clusterin associated protein 1
XP_063825236.1	NP_523962.2	38846	lqf	liquid facets
XP_063825238.1	NP_611151.1	36871	CG15617	uncharacterized protein
XP_063825246.1	NP_788027.1	34553	Gyc32E	Guanylyl cyclase at 32E
XP_063825248.1	NP_611291.1	37063	CG5098	uncharacterized protein
XP_063825249.1	NP_649546.1	40666	CG2519	uncharacterized protein
XP_063825255.1	NP_731905.1	318680	Dnaaf5	Dynein axonemal assembly factor 5
XP_063825260.1	NP_650113.1	41423	l(3)neo38	lethal (3) neo38
XP_063825263.1	NP_573242.2	32757	unc-4	unc-4
XP_063825264.1	NP_610829.1	36427	Sans	Scaffold protein containing ankyrin repeats and SAM domain
XP_063825265.1	NP_651170.1	42793	CG10254	uncharacterized protein
XP_063825266.1	NP_611409.2	37217	Acadvl	Acyl-CoA dehydrogenase very long chain
XP_063825268.1	NP_726596.1	43808	gw	gawky
XP_063825270.1	NP_611932.2	37923	CG11414	uncharacterized protein
XP_063825271.1	NP_609383.2	34395	GATAd	GATAd
XP_063825277.1	NP_524379.2	41971	asun	asunder
XP_063825278.1	NP_723811.1	326166	Tap42	Two A-associated protein of 42kDa
XP_063825280.1	NP_995679.1	2768944	rho-5	rhomboid-5
XP_063825281.1	NP_648102.2	38807	Rint1	RAD50 interactor 1
XP_063825283.1	NP_609639.2	34742	CG9395	uncharacterized protein
XP_063825286.1	NP_609619.1	34722	CG16812	uncharacterized protein
XP_063825287.1	NP_611959.2	37954	Usp15-31	Ubiquitin specific protease 15/31
XP_063825288.1	NP_611884.1	37857	snama	something that sticks like glue
XP_063825289.1	NP_652039.2	46091	Nup214	Nucleoporin 214kD
XP_063825292.1	NP_523811.1	37563	mRpS29	mitochondrial ribosomal protein S29
XP_063825297.1	NP_611676.1	37570	CG4554	uncharacterized protein
XP_063825299.1	NP_611009.1	36673	ckn	caskin
XP_063825302.1	NP_652035.1	46069	ATPsynG	ATP synthase, subunit G
XP_063825303.1	NP_651076.2	42676	wake	wide awake
XP_063825304.1	NP_650942.1	42499	Sec15	Secretory 15
XP_063825306.1	NP_572669.2	32028	Myo10A	Myosin 10A
XP_063825309.1	NP_732097.2	41943	Hel89B	Helicase 89B
XP_063825311.1	NP_647877.1	38514	Sqor	Sulfide quinone oxidoreductase
XP_063825312.1	NP_612004.2	38023	Vdup1	Vitamin D[[3]] up-regulated protein 1
XP_063825320.1	NP_648065.1	38761	CG10064	uncharacterized protein
XP_063825322.1	NP_650608.1	42077	Det	Deterin
XP_063825328.1	NP_647770.1	38372	promL	prominin-like
XP_063825330.1	NP_001036440.1	3355144	RpL38	Ribosomal protein L38
XP_063825332.1	NP_609416.1	34446	CG6094	uncharacterized protein
XP_063825343.1	NP_651511.1	43233	CG5500	uncharacterized protein
XP_063825344.1	NP_524894.1	47757	RabGGTb	Rab geranylgeranyltransferase subunit beta
XP_063825347.1	NP_724481.1	47082	Adf1	Adh transcription factor 1
XP_063825348.1	NP_650470.1	41888	B9d1	B9d1
XP_063825349.1	NP_611523.3	37363	Cib2	Calcium and integrin binding family member 2
XP_063825351.1	NP_477445.1	41983	Manf	Mesencephalic astrocyte-derived neurotrophic factor
XP_063825352.1	NP_611940.1	37931	ATPsynF	ATP synthase, subunit F
XP_063825353.1	NP_609631.1	34734	Drep4	DNA fragmentation factor-related protein 4
XP_063825354.1	NP_001014529.1	3346176	U3-55K	U3 small nuclear riboprotein factor 55K
XP_063825355.1	NP_609567.2	34657	CG5435	uncharacterized protein
XP_063825362.1	NP_647874.1	38510	Cpr64Ac	Cuticular protein 64Ac
XP_063825365.1	NP_608346.1	32980	CG14229	uncharacterized protein
XP_063825390.1	NP_727796.1	318103	CG32590	uncharacterized protein
XP_063825395.1	NP_001033961.2	3885656	CG34045	uncharacterized protein
XP_063825396.1	NP_648566.1	39404	INPP5E	Inositol polyphosphate 5-phosphatase E
XP_063825398.1	NP_651972.1	44228	ND-PDSW	NADH dehydrogenase (ubiquinone) PDSW subunit
XP_063825401.1	NP_609740.4	34889	CG4168	uncharacterized protein
XP_063825405.1	NP_611334.1	37122	Lamtor2	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2
XP_063825406.1	NP_573333.2	32880	CG7322	uncharacterized protein
XP_063825409.1	NP_609081.1	33963	Polr1F	RNA polymerase I subunit F
XP_063825416.1	NP_610828.2	36426	SCCRO3	Squamous cell carcinoma-related oncogene 3
XP_063825422.1	NP_729025.1	326203	TTLL1B	Tubulin tyrosine ligase-like 1B
XP_063825430.1	NP_651725.1	43512	sro	shroud
XP_063825438.1	NP_573039.1	32488	CG7860	uncharacterized protein
XP_063825439.1	NP_652488.1	50350	CG12994	uncharacterized protein
XP_063825441.1	NP_650835.1	42359	Mrm2	Mitochondrial rRNA methyltransferase 2
XP_063825442.1	NP_648602.1	39455	Sap130	Sin3A-associated protein 130
XP_063825448.1	NP_610660.2	36194	Cpr47Ef	Cuticular protein 47Ef
XP_063825467.1	NP_651035.1	42627	CG13857	uncharacterized protein
XP_063825469.1	NP_650904.3	42449	Nep4	Neprilysin 4
XP_063825471.1	NP_001036688.2	4379850	CG34135	uncharacterized protein
XP_063825477.1	NP_477509.1	43327	Sce	Sex combs extra
XP_063825479.1	NP_611858.2	37813	CG13566	uncharacterized protein
XP_063825480.1	NP_610078.2	35365	Nthl1	Nth-like DNA glycosylase 1
XP_063825481.1	NP_729096.1	326214	vito	viriato
XP_063825482.1	NP_524742.1	44326	mRpL12	mitochondrial ribosomal protein L12
XP_063825484.1	NP_649408.1	40486	CG11370	uncharacterized protein
XP_063825485.1	NP_649243.1	40282	Nubp2	NUBP iron-sulfur cluster assembly factor 2
XP_063825486.1	NP_001033839.1	3885569	CG34026	uncharacterized protein
XP_063825489.1	NP_611693.1	37589	RpS24	Ribosomal protein S24
XP_063825490.1	NP_608737.1	33512	alpha4GT1	alpha1,4-galactosyltransferase 1
XP_063825499.1	NP_524399.1	42273	dnk	deoxyribonucleoside kinase
XP_063825500.1	NP_611563.1	37420	Ugt49B1	UDP-glycosyltransferase family 49 member B1
XP_063825501.1	NP_001014533.1	3346188	Vkor	Vitamin-K epoxide reductase
XP_063825503.1	NP_726199.3	37564	rad50	rad50
XP_063825504.1	NP_728092.1	32748	chas	chascon
XP_063825509.1	NP_650382.3	41779	Rad17	Rad17
XP_063825510.1	NP_611247.3	37010	swi2	swi2
XP_063825512.1	NP_001097876.1	42691	CG45049	uncharacterized protein
XP_063825515.1	NP_788909.1	32489	CG15643	uncharacterized protein
XP_063825517.1	NP_573097.1	32565	ND-20	NADH dehydrogenase (ubiquinone) 20 kDa subunit
XP_063825519.1	NP_787960.1	33324	NLaz	Neural Lazarillo
XP_063825522.1	NP_523542.1	34537	AstC	Allatostatin C
XP_063825523.1	NP_610077.1	35364	RPA2	Replication protein A2
XP_063825524.1	NP_724578.1	48986	boca	boca
XP_063825526.1	NP_524823.1	45380	spin	spinster
XP_063825529.1	NP_651756.1	43555	Sas-6	Spindle assembly abnormal 6
XP_063825530.1	NP_611007.1	36670	Lap1	Lap1
XP_063825531.1	NP_649219.1	40254	CG13248	uncharacterized protein
XP_063825532.1	NP_648921.2	39876	CG9706	uncharacterized protein
XP_063825534.1	NP_001014492.2	3346223	CG33511	uncharacterized protein
XP_063825536.1	NP_001097143.1	5740441	CG34161	uncharacterized protein
XP_063825542.1	NP_610084.1	35372	CG9259	uncharacterized protein
XP_063825543.1	NP_649792.3	40994	PNKP	Polynucleotide kinase 3'-phosphatase
XP_063825545.1	NP_729054.3	38605	shep	alan shepard
XP_063825548.1	NP_609452.1	34488	CG6724	uncharacterized protein
XP_063825550.1	NP_647636.3	38197	Mettl2	Methyltransferase like 2
XP_063825552.1	NP_573196.1	32701	Chchd2	Coiled-coil-helix-coiled-coil-helix domain containing 2
XP_063825554.1	NP_650149.1	41465	ssp5	short spindle 5
XP_063825555.1	NP_524902.2	47878	Eip63F-1	Ecdysone-induced protein 63F 1
XP_063825560.1	NP_001097043.1	33157	Ir21a	Ionotropic receptor 21a
XP_063825561.1	NP_569945.1	31136	prage	prage
XP_063825563.1	NP_573342.1	32889	CG43759	uncharacterized protein
XP_063825565.1	NP_649425.1	40507	CG11109	uncharacterized protein
XP_063825568.1	NP_476955.1	40506	Arf1	ADP ribosylation factor 1
XP_063825569.1	NP_476736.1	32498	sog	short gastrulation
XP_063825571.1	NP_611248.3	37011	rdgBbeta	rdgBbeta
XP_063825574.1	NP_609365.3	34373	CG4953	uncharacterized protein
XP_063825575.1	NP_650553.1	42005	Der-2	Derlin-2
XP_063825576.1	NP_647619.1	38177	CG12091	uncharacterized protein
XP_063825578.1	NP_611096.1	36794	caly	calypso
XP_063825579.1	NP_611095.1	36793	clu	clueless
XP_063825583.1	NP_001014633.2	14462484	Polr2D	RNA polymerase II subunit D
XP_063825584.1	NP_609060.1	33932	Ube4A	Ubiquitination factor E4A
XP_063825585.1	NP_476754.1	31012	su(sable)	suppressor of sable
XP_063825589.1	NP_725401.2	246439	Blos1	Biogenesis of lysosome-related organelles complex 1, subunit 1
XP_063825590.1	NP_996031.1	39066	Pdxk	Pyridoxal kinase
XP_063825594.1	NP_608715.2	33477	Duox	Dual oxidase
XP_063825597.1	NP_511145.2	32275	mew	multiple edematous wings
XP_063825599.1	NP_569860.3	31026	CG16989	uncharacterized protein
XP_063825600.1	NP_476819.2	33211	AP-2alpha	Adaptor Protein complex 2, alpha subunit
XP_063825603.1	NP_650503.1	41925	Hmt-1	Heavy metal tolerance factor 1
XP_063825604.1	NP_573075.1	32528	Efhc1.1	EF-hand domain containing 1.1
XP_063825607.1	NP_649195.1	40218	CG13813	uncharacterized protein
XP_063825608.1	NP_610625.1	36154	CG18004	uncharacterized protein
XP_063825615.1	NP_001014730.1	3346145	CG33557	uncharacterized protein
XP_063825617.1	NP_001036438.1	3355013	Gprk1	G protein-coupled receptor kinase 1
XP_063825619.1	NP_647670.3	38243	CG12024	uncharacterized protein
XP_063825620.1	NP_572246.1	31489	CG3149	uncharacterized protein
XP_063825621.1	NP_647835.1	38455	Ccz1	Caffeine, calcium, zinc sensitivity 1
XP_063825622.1	NP_647834.3	38454	Lamtor4	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
XP_063825625.1	NP_730679.2	40412	CG32447	uncharacterized protein
XP_063825626.1	NP_609321.1	34314	CG5885	uncharacterized protein
XP_063825627.1	NP_651968.1	44029	Ref1	RNA and export factor binding protein 1
XP_063825629.1	NP_572148.2	31355	Cmtr1	Cap methyltransferase 1
XP_063825630.1	NP_611553.1	37407	Hmg-2	High mobility group protein 2
XP_063825632.1	NP_609399.1	34423	RfC3	Replication factor C subunit 3
XP_063825634.1	NP_573147.2	32646	Septin4	Septin 4
XP_063825637.1	NP_573176.1	32679	DENR	Density regulated protein
XP_063825638.1	NP_648601.1	39454	Atg1	Autophagy-related 1
XP_063825643.1	NP_611856.1	37810	thoc5	thoc5
XP_063825645.1	NP_573152.2	32652	CG4678	uncharacterized protein
XP_063825647.1	NP_001137676.1	19836175	CG44242	uncharacterized protein
XP_063825648.1	NP_477421.1	33351	Eno	Enolase
XP_063825649.1	NP_611094.1	36792	CG8441	uncharacterized protein
XP_063825650.1	NP_649158.1	40174	Rpn1	Regulatory particle non-ATPase 1
XP_063825653.1	NP_650123.1	44858	sad	shadow
XP_063825655.1	NP_648286.1	39044	CG4942	uncharacterized protein
XP_063825656.1	NP_651726.1	43513	Rnb	R and B
XP_063825657.1	NP_648337.1	39119	CG3335	uncharacterized protein
XP_063825658.1	NP_610511.3	35997	Mmp2	Matrix metalloproteinase 2
XP_063825660.1	NP_647979.1	38635	TM9SF3	Transmembrane 9 superfamily protein member 3
XP_063825661.1	NP_477294.2	33234	Nle	Notchless
XP_063825662.1	NP_572215.1	31447	Sas10	Something about silencing 10
XP_063825665.1	NP_001096855.1	5740235	RhoGAP1A	Rho GTPase activating protein at 1A
XP_063825666.1	NP_611050.1	36728	CG8204	uncharacterized protein
XP_063825668.1	NP_611395.1	37197	CG15117	uncharacterized protein
XP_063825673.1	NP_648146.1	38859	CG7492	uncharacterized protein
XP_063825675.1	NP_573170.2	32672	CG4829	uncharacterized protein
XP_063825679.1	NP_609539.1	34621	CG6770	uncharacterized protein
XP_063825682.1	NP_523740.3	36582	Mdr50	Multi drug resistance 50
XP_063825686.1	NP_647783.3	38388	CG14965	uncharacterized protein
XP_063825687.1	NP_647985.1	38647	Ppat-Dpck	Bifunctional Phosphopantetheine adenylyltransferase - Dephospho-CoA kinase
XP_063825691.1	NP_612030.2	38057	mthl10	methuselah-like 10
XP_063825692.1	NP_524861.2	45970	S6KL	S6 Kinase Like
XP_063825695.1	NP_477160.1	36791	Lis-1	Lissencephaly-1
XP_063825697.1	NP_570029.1	31270	CG32795	uncharacterized protein
XP_063825702.1	NP_001036397.2	3355127	Slmap	Sarcolemma associated protein
XP_063825707.1	NP_573326.1	32871	Atg101	Autophagy-related 101
XP_063825716.1	NP_001027079.1	338392	CG33932	uncharacterized protein
XP_063825717.1	NP_611294.1	37071	EMRE	Essential MCU regulator
XP_063825718.1	NP_726106.1	37480	HmgZ	HMG protein Z
XP_063825719.1	NP_523830.2	37767	Ssrp	Structure specific recognition protein
XP_063825720.1	NP_611595.3	37465	Ip6k	Inositol hexakisphosphate kinase
XP_063825724.1	NP_648920.1	39875	CG9705	uncharacterized protein
XP_063825725.1	NP_788884.1	31718	Tbh	Tyramine beta hydroxylase
XP_063825726.1	NP_611988.2	37994	CG2765	uncharacterized protein
XP_063825727.1	NP_649083.2	40074	CG3808	uncharacterized protein
XP_063825728.1	NP_572758.1	32144	CG1847	uncharacterized protein
XP_063825729.1	NP_651962.2	44000	Spt6	Spt6
XP_063825738.1	NP_524001.2	39085	aay	astray
XP_063825743.1	NP_610735.1	36304	Prp8	pre-mRNA processing factor 8
XP_063825747.1	NP_995822.1	36327	CG13168	uncharacterized protein
XP_063825748.1	NP_610915.2	36541	CG13344	uncharacterized protein
XP_063825755.1	NP_651027.1	42617	CG7071	uncharacterized protein
XP_063825761.1	NP_728347.1	33047	GstT3	Glutathione S transferase T3
XP_063825762.1	NP_647773.1	38375	Usp5	Ubiquitin specific protease 5
XP_063825763.1	NP_610518.1	36009	CG1648	uncharacterized protein
XP_063825765.1	NP_001036744.1	4379860	Muted	muted
XP_063825786.1	NP_523973.2	46156	Gug	Grunge
XP_063825787.1	NP_648787.2	39695	CG13449	uncharacterized protein
XP_063825790.1	NP_725517.2	36766	Rrp42	Rrp42
XP_063825793.1	NP_649315.1	40372	Alp1	Alkaline phosphatase 1
XP_063825796.1	NP_612062.1	38096	CG13887	uncharacterized protein
XP_063825797.1	NP_648950.1	39910	beg	bad egg
XP_063825798.1	NP_524690.1	44086	DCTN2-p50	Dynactin 2, p50 subunit
XP_063825799.1	NP_651417.1	43103	RpL27	Ribosomal protein L27
XP_063825800.1	NP_727339.3	31887	Zdhhc8	Zinc finger DHHC-type containing 8
XP_063825802.1	NP_650069.2	41368	bumpel	brother of rumpel
XP_063825803.1	NP_609319.2	34310	CG13124	uncharacterized protein
XP_063825804.1	NP_476615.1	33019	AnxB10	Annexin B10
XP_063825805.1	NP_611243.1	37006	P32	P32
XP_063825807.1	NP_610973.3	36623	CG12863	uncharacterized protein
XP_063825808.1	NP_611407.1	37215	mip40	Myb-interacting protein 40
XP_063825809.1	NP_572598.3	31935	Cht6	Chitinase 6
XP_063825812.1	NP_476934.2	38153	Myo61F	Myosin 61F
XP_063825817.1	NP_609320.2	34311	Etl1	Etl1
XP_063825821.1	NP_610090.1	35379	pths	porthos
XP_063825822.1	NP_572919.1	32338	Rtc1	Rtc1
XP_063825826.1	NP_476763.1	36619	tra2	transformer 2
XP_063825839.1	NP_722725.1	319033	Rrp40	Ribosomal RNA processing 40
XP_063825845.1	NP_726372.1	37780	Pym	Partner of Y14 and Mago
XP_063825848.1	NP_648413.1	39218	CG6418	uncharacterized protein
XP_063825849.1	NP_477451.1	32938	Pfrx	6-phosphofructo-2-kinase
XP_063825851.1	NP_573174.1	32677	Nprl2	Nitrogen permease regulator-like 2
XP_063825853.1	NP_524759.2	44505	br	broad
XP_063825861.1	NP_609194.1	34121	CG8372	uncharacterized protein
XP_063825864.1	NP_659573.1	37776	eIF6	eukaryotic translation initiation factor 6
XP_063825868.1	NP_524668.2	43981	DIP1	DISCO Interacting Protein 1
XP_063825876.1	NP_572855.1	32261	CG42237	uncharacterized protein
XP_063825879.1	NP_525063.1	31332	Rala	Ras-like protein A
XP_063825881.1	NP_651211.2	42853	SMC1	Structural maintenance of chromosomes 1
XP_063825882.1	NP_477310.2	35998	Uba1	Ubiquitin activating enzyme 1
XP_063825883.1	NP_725278.1	36475	Dh31-R	Diuretic hormone 31 Receptor
XP_063825885.1	NP_524367.1	41885	Act88F	Actin 88F
XP_063825887.1	NP_609809.1	35006	ppk17	pickpocket 17
XP_063825888.1	NP_610427.2	35893	PAN2	Poly(A)-binding protein-dependent poly(A) ribonuclease 2
XP_063825891.1	NP_649341.1	40403	MED1	Mediator complex subunit 1
XP_063825892.1	NP_726368.2	37770	pippin	pippin
XP_063825894.1	NP_611663.2	37552	Liprin-gamma	Liprin-gamma
XP_063825895.1	NP_525046.1	31207	Or2a	Odorant receptor 2a
XP_063825899.1	NP_729954.2	39561	Frl	Formin-like
XP_063825901.1	NP_610386.2	35832	mtt	mangetout
XP_063825911.1	NP_476940.1	33397	Uch	Ubiquitin carboxy-terminal hydrolase
XP_063825913.1	NP_572428.3	31713	Ubr3	Ubr3 ubiquitin ligase
XP_063825916.1	NP_523497.2	33986	Gart	GART trifunctional enzyme
XP_063825917.1	NP_610912.2	36538	tum	tumbleweed
XP_063825924.1	NP_610361.1	35793	RagC-D	Ras-related GTP binding C/D
XP_063825925.1	NP_612031.3	38059	Ptpmeg	Protein tyrosine phosphatase Meg
XP_063825926.1	NP_610516.1	36005	CG1688	uncharacterized protein
XP_063825928.1	NP_001246272.1	12798408	CG43191	uncharacterized protein
XP_063825929.1	NP_573135.1	32629	CG9784	uncharacterized protein
XP_063825933.1	NP_524027.2	39324	Gr68a	Gustatory receptor 68a
XP_063825935.1	NP_649426.3	40508	Chro	Chromator
XP_063825936.1	NP_610554.1	36058	RpLP0-like	Ribosomal protein LP0-like
XP_063825938.1	NP_573086.2	32547	tay	tay bridge
XP_063825940.1	NP_610082.2	35370	tadr	torn and diminished rhabdomeres
XP_063825941.1	NP_001014495.1	3346226	ppk13	pickpocket 13
XP_063825942.1	NP_573218.1	32729	CG43658	uncharacterized protein
XP_063825944.1	NP_609733.1	34872	mol	moladietz
XP_063825945.1	NP_652400.3	50250	CG14767	uncharacterized protein
XP_063825946.1	NP_651709.1	43491	Cap-D2	CAP-D2 condensin subunit
XP_063825947.1	NP_524879.2	47141	ebo	ellipsoid body open
XP_063825951.1	NP_525097.1	33110	fliI	flightless I
XP_063825952.1	NP_648597.2	39450	Hip1	Huntingtin interacting protein 1
XP_063825954.1	NP_611708.2	37606	CG30259	uncharacterized protein
XP_063825955.1	NP_731246.2	50003	CG45263	uncharacterized protein
XP_063825957.1	NP_610519.2	36010	dila	dilatory
XP_063825958.1	NP_609766.1	34928	CG3793	uncharacterized protein
XP_063825962.1	NP_652604.2	53434	c12.2	c12.2
XP_063825964.1	NP_001033958.1	37088	CG33958	uncharacterized protein
XP_063825968.1	NP_649325.2	40385	Cdk12	Cyclin-dependent kinase 12
XP_063825970.1	NP_524883.2	47216	Klp54D	Kinesin-like protein at 54D
XP_063825972.1	NP_610176.1	35501	Not3	CCR4-NOT transcription complex subunit 3
XP_063825973.1	NP_524393.2	42133	Lgr1	Leucine-rich repeat-containing G protein-coupled receptor 1
XP_063825974.1	NP_524838.1	45783	ValRS	Valyl-tRNA synthetase
XP_063825975.1	NP_611246.1	37009	HPS4	Hermansky-Pudlak Syndrome 4
XP_063825976.1	NP_572601.1	31940	CG15312	uncharacterized protein
XP_063825978.1	NP_523583.2	34974	chif	chiffon
XP_063825979.1	NP_610760.1	36336	CG8841	uncharacterized protein
XP_063825980.1	NP_648819.2	39738	CG10516	uncharacterized protein
XP_063825981.1	NP_572328.1	31593	Pat1	Protein interacting with APP tail-1
XP_063825982.1	NP_569933.2	31120	hfw	halfway
XP_063825983.1	NP_609028.2	33899	retm	real-time
XP_063825986.1	NP_611545.1	37395	Rbpn-5	Rabaptin-5
XP_063825987.1	NP_572868.3	32278	HDAC4	Histone deacetylase 4
XP_063825990.1	NP_608656.1	33399	mio	missing oocyte
XP_063825991.1	NP_651720.3	43505	Wdr24	WD repeat domain 24
XP_063825992.1	NP_572274.1	31519	Usp30	Ubiquitin specific protease 30
XP_063825993.1	NP_996359.2	31591	CG34417	uncharacterized protein
XP_063825995.1	NP_511064.2	31589	dx	deltex
XP_063826006.1	NP_523846.2	37895	SerT	Serotonin transporter
XP_063826011.1	NP_001097221.1	246580	PIG-X	Phosphatidylinositol glycan anchor biosynthesis class X
XP_063826012.1	NP_725849.1	37196	5-HT1A	5-hydroxytryptamine (serotonin) receptor 1A
XP_063826016.1	NP_610379.2	35816	CSN7	COP9 signalosome subunit 7
XP_063826017.1	NP_523738.2	36571	cg	combgap
XP_063826027.1	NP_608762.3	33543	CG3277	uncharacterized protein
XP_063826031.1	NP_477274.1	45017	Lcp65Af	Lcp65Af
XP_063826032.1	NP_725599.2	36862	gprs	gprs
XP_063826033.1	NP_511058.1	31558	Spx	Spliceosomal protein on the X
XP_063826038.1	NP_610802.1	36387	spt4	spt4
XP_063826039.1	NP_725705.2	246460	CG30108	uncharacterized protein
XP_063826044.1	NP_476978.1	33226	lwr	lesswright
XP_063826045.1	NP_649096.1	40094	Bet1	Blocked early in transport 1
XP_063826051.1	NP_611564.2	37421	Ugt49C1	UDP-glycosyltransferase family 49 member C1
XP_063826052.1	NP_649903.1	41147	RnpS1	RNA-binding protein S1
XP_063826053.1	NP_609483.2	34538	AstCC	Allatostatin double C
XP_063826055.1	NP_477218.1	35288	lok	loki
XP_063826057.1	NP_511062.1	31587	Agxt	Alanine-glyoxylate aminotransferase
XP_063826060.1	NP_650590.1	42056	Trm7-32	tRNA methyltransferase 7-32
XP_063826061.1	NP_610629.1	36159	ND-B14	NADH dehydrogenase (ubiquinone) B14 subunit
XP_063826068.1	NP_660192.1	39854	CG4098	uncharacterized protein
XP_063826070.1	NP_611015.1	36680	CG7544	uncharacterized protein
XP_063826073.1	NP_001163243.1	8674001	CG42496	uncharacterized protein
XP_063826076.1	NP_611805.1	37728	levy	levy
XP_063826084.1	NP_523910.1	38459	mge	maggie
XP_063826086.1	NP_572571.1	31902	Gga	Golgi-localized, gamma-adaptin ear containing, ARF binding protein
XP_063826087.1	NP_572572.1	31903	Lst8	Lst8
XP_063826088.1	NP_610378.1	35814	CG2121	uncharacterized protein
XP_063826090.1	NP_788429.1	37605	Obp59a	Odorant-binding protein 59a
XP_063826092.1	NP_731252.1	326141	mRpS18A	mitochondrial ribosomal protein S18A
XP_063826095.1	NP_476923.1	35800	dpn	deadpan
XP_063826100.1	NP_726105.1	246533	Ppcdc	Phosphopantothenoylcysteine decarboxylase
XP_063826101.1	NP_609038.1	33909	Phf5a	PHD finger protein 5a
XP_063826102.1	NP_477002.1	38154	ND-ACP	NADH dehydrogenase (ubiquinone) acyl carrier protein
XP_063826103.1	NP_609090.2	33979	sip2	septin interacting protein 2
XP_063826106.1	NP_649009.1	39979	ais	aramis
XP_063826107.1	NP_648623.1	39478	Icmt	Isoprenylcysteine carboxyl methyltransferase
XP_063826114.1	NP_572427.1	31712	orion	orion
XP_063826118.1	NP_649428.1	40510	slif	slimfast
XP_063826132.1	NP_610694.1	36249	Tret1-2	Trehalose transporter 1-2
XP_063826136.1	NP_611376.1	37170	CG15096	uncharacterized protein
XP_063826145.1	NP_609625.2	34728	Jhbp14	Juvenile hormone binding protein 14
XP_063826146.1	NP_608839.1	33656	CG15443	uncharacterized protein
XP_063826147.1	NP_001097003.1	32656	CG34325	uncharacterized protein
XP_063826148.1	NP_523538.1	34445	Myo31DF	Myosin 31DF
XP_063826149.1	NP_649019.2	39990	CG5535	uncharacterized protein
XP_063826150.1	NP_523434.2	33118	Ddx56	DEAD-box helicase 56
XP_063826151.1	NP_523647.2	35644	Or43a	Odorant receptor 43a
XP_063826152.1	NP_523587.4	35007	Mhc	Myosin heavy chain
XP_063826155.1	NP_524241.1	40737	Obp83a	Odorant-binding protein 83a
XP_063826181.1	NP_723441.2	34231	DIP-zeta	Dpr-interacting protein zeta
XP_063826195.1	NP_523586.1	35005	yellow-b	yellow-b
XP_063826196.1	NP_001138001.1	7354399	Spf30	Splicing factor 30
XP_063826197.1	NP_609092.1	33984	CG43322	uncharacterized protein
XP_063826198.1	NP_611842.1	37790	DCP1	Decapping protein 1
XP_063826199.1	NP_608449.1	33107	Dd	Dullard
XP_063826203.1	NP_651049.3	42642	AP-2mu	Adaptor Protein complex 2, mu subunit
XP_063826205.1	NP_572299.1	31553	Efr	ER GDP-fucose transporter
XP_063826206.1	NP_611390.2	37190	tn	thin
XP_063826208.1	NP_610491.4	35974	Camta	Calmodulin-binding transcription activator
XP_063826209.1	NP_648644.1	39507	CG14105	uncharacterized protein
XP_063826210.1	NP_723239.1	261613	CG31908	uncharacterized protein
XP_063826211.1	NP_477474.1	36638	Rpn6	Regulatory particle non-ATPase 6
XP_063826212.1	NP_523743.1	36617	Polr1A	RNA polymerase I subunit A
XP_063826215.1	NP_611146.1	36865	Picot	picot
XP_063826218.1	NP_609808.1	35004	BuGZ	Bub3 interacting GLEBS and Zinc finger domain protein
XP_063826220.1	NP_609258.1	34215	C1GalTA	Core 1 Galactosyltransferase A
XP_063826222.1	NP_648037.1	38720	Sf3b6	Splicing factor 3b subunit 6
XP_063826226.1	NP_572609.1	31949	Ypel	Yippee-like
XP_063826229.1	NP_476682.1	48311	Pkc53E	Protein C kinase 53E
XP_063826231.1	NP_649253.1	40294	Pex14	Peroxin 14
XP_063826232.1	NP_725583.1	36841	Parp16	Poly(ADP-ribose) polymerase 16
XP_063826233.1	NP_651229.2	42877	CG6204	uncharacterized protein
XP_063826234.1	NP_477265.1	33265	kraken	kraken
XP_063826236.1	NP_649225.1	40263	Hpd	4-hydroxyphenylpyruvate dioxygenase
XP_063826238.1	NP_477008.1	34333	Trp1	Translocation protein 1
XP_063826240.1	NP_610377.1	35813	pdm3	pou domain motif 3
