Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_085115.1	11778825	11784328	9	minus	major facilitator superfamily domain-containing protein 9	LOC101744189	101744189	protein-coding	XM_004931083.5	XP_004931140.2	408	
NC_085115.1	11880963	11972815	9	plus	mannosyl-oligosaccharide alpha-1,2-mannosidase IA	LOC101744335	101744335	protein-coding	XM_038012948.2	XP_037868876.1	664	
NC_085115.1	11977930	12003899	9	minus	mannosyl-oligosaccharide alpha-1,2-mannosidase IA	LOC101744477	101744477	protein-coding	XM_038012950.2	XP_037868878.1	539	
NC_085115.1	12003616	12007130	9	plus	retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 4	LOC110386078	110386078	protein-coding	XM_062670186.1	XP_062526170.1	233	
NC_085115.1	12015952	12047478	9	plus	xaa-Pro aminopeptidase 1	LOC101746262	101746262	protein-coding	XM_062670178.1	XP_062526162.1	713	
NC_085115.1	12052869	12064532	9	minus	STAM-binding protein-like A	LOC101744622	101744622	protein-coding	XM_038012887.2	XP_037868815.1	408	
NC_085115.1	12065193	12067942	9	minus	uncharacterized LOC105842323	LOC105842323	105842323	protein-coding	XM_012694656.3	XP_012550110.2	826	
NC_085115.1	12074433	12093589	9	plus	uncharacterized LOC101744907	LOC101744907	101744907	protein-coding	XM_004931088.4	XP_004931145.2	190	
NC_085115.1	12095032	12099378	9	minus	CDGSH iron-sulfur domain-containing protein 2 homolog	LOC101745150	101745150	protein-coding	XM_004931090.5	XP_004931147.1	132	
NC_085115.1	12101987	12144820	9	plus	PH and SEC7 domain-containing protein	LOC101745630	101745630	protein-coding	XM_021351323.3	XP_021206998.2	950	
NC_085115.1	12144096	12161531	9	minus	BRISC and BRCA1-A complex member 1	LOC101745396	101745396	protein-coding	XM_004931092.5	XP_004931149.1	282	
NC_085115.1	12172540	12178142	9	plus	RWD domain-containing protein 1	LOC101745778	101745778	protein-coding	XM_004931095.4	XP_004931152.2	238	
NC_085115.1	12185493	12224093	9	minus	tubby-related protein 4	LOC101746401	101746401	protein-coding	XM_038012833.2	XP_037868761.2	1334	
NC_085115.1	12225037	12237082	9	minus	DNA polymerase theta	LOC101746157	101746157	protein-coding	XM_021351240.3	XP_021206915.3	1828	
NC_085115.1	12240104	12254899	9	minus	UPF0415 protein C7orf25 homolog	LOC101745922	101745922	protein-coding	XM_004931096.5	XP_004931153.2	404	
NC_085115.1	12267713	12274838	9	plus	proliferation-associated protein 2G4	LOC101746307	101746307	protein-coding	XM_004931099.4	XP_004931156.1	379	
NC_085115.1	12274830	12275606	9	minus	MICOS complex subunit MIC13 homolog QIL1	LOC101746538	101746538	protein-coding	XM_038012886.2	XP_037868814.2	117	
NC_085115.1	12279784	12287216	9	plus	interleukin-1 receptor-associated kinase 4	LOC101746674	101746674	protein-coding	XM_004931186.5	XP_004931243.2	598	
NC_085115.1	12291316	12296037	9	minus	uncharacterized LOC101746444	LOC101746444	101746444	protein-coding	XM_021351266.2	XP_021206941.2	406	
NC_085115.1	12296031	12301369	9	plus	uncharacterized LOC119630429	LOC119630429	119630429	protein-coding	XM_038019825.2	XP_037875753.2	910	
NC_085115.1	12304710	12320319	9	minus	DNA polymerase zeta catalytic subunit	LOC101746813	101746813	protein-coding	XM_012694752.4	XP_012550206.3	1706	
NC_085115.1	12321348	12360908	9	plus	protein Lilipod	LOC101746728	101746728	protein-coding	XM_004931102.5	XP_004931159.1	561	
NC_085115.1	12334526	12340361	9	minus	tetratricopeptide repeat protein 1	LOC101746587	101746587	protein-coding	XM_004931101.5	XP_004931158.1	243	
NC_085115.1	12360900	12361885	9	minus	ribonuclease P	LOC693087	693087	protein-coding	NM_001046840.2	NP_001040305.1	259	
NC_085115.1	12363596	12367461	9	plus	putative malate dehydrogenase 1B	LOC134199386	134199386	protein-coding	XM_062670181.1	XP_062526165.1	512	
NC_085115.1	12367144	12539978	9	plus	uncharacterized LOC101747087	LOC101747087	101747087	protein-coding	XM_038012845.2	XP_037868773.1	1413	
NC_085115.1	12540693	12547037	9	plus	uncharacterized LOC101747003	LOC101747003	101747003	protein-coding	XM_004931104.5	XP_004931161.2	787	
NC_085115.1	12547063	12553995	9	minus	contactin	LOC101747138	101747138	protein-coding	XM_004931105.5	XP_004931162.2	1309	
NC_085115.1	12555268	12617723	9	minus	uncharacterized LOC101735345	LOC101735345	101735345	protein-coding	XM_004931106.5	XP_004931163.3	2103	
NC_085115.1	12653189	12674447	9	minus	angiomotin	LOC101735843	101735843	protein-coding	XM_038012869.2	XP_037868797.2	745	
NC_085115.1	12675705	12677753	9	plus	thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	LOC101735484	101735484	protein-coding	XM_004931107.5	XP_004931164.1	171	
NC_085115.1	12678483	12693137	9	minus	rhodanese domain-containing protein CG4456	LOC101735619	101735619	protein-coding	XM_004931108.5	XP_004931165.1	194	
NC_085115.1	12679566	12681521	9	plus	uncharacterized LOC134199398	LOC134199398	134199398	protein-coding	XM_062670194.1	XP_062526178.1	104	
NC_085115.1	12701074	12749827	9	plus	histone-lysine N-methyltransferase 2C	LOC101736107	101736107	protein-coding	XM_038013003.2	XP_037868931.1	4928	
NC_085115.1	12702670	12703915	9	minus	peroxiredoxin-4	LOC101735759	101735759	protein-coding	NM_001309566.1	NP_001296495.1	247	
NC_085115.1	12754128	12755665	9	minus	ribosomal protein S14	RpS14	692654	protein-coding	NM_001043649.1	NP_001037114.1	151	
NC_085115.1	12755961	12762471	9	plus	GTP-binding protein SAR1b	LOC101735890	101735890	protein-coding	XM_004931110.5	XP_004931167.1	193	
NC_085115.1	12763800	12788179	9	minus	cytosolic carboxypeptidase-like protein 5	LOC101736372	101736372	protein-coding	XM_012694706.4	XP_012550160.1	1083	
NC_085115.1	12790622	12895695	9	minus	uncharacterized LOC101736201	LOC101736201	101736201	protein-coding	XM_004931112.4	XP_004931169.2	351	
NC_085115.1	12896412	12899150	9	minus	uncharacterized LOC101736333	LOC101736333	101736333	protein-coding	XM_004931113.4	XP_004931170.1	110	
NC_085115.1	12902763	12914624	9	minus	sorting nexin-4	LOC101736454	101736454	protein-coding	XM_021351261.3	XP_021206936.1	419	
NC_085115.1	13036072	13220214	9	plus	neuropeptide receptor A24	NGR-A24	100174935	protein-coding	NM_001134250.1	NP_001127722.1	391	
NC_085115.1	13229758	13230363	9	plus	uncharacterized LOC101736632	LOC101736632	101736632	protein-coding	XM_012694670.3	XP_012550124.2	201	
NC_085115.1	13251168	13262075	9	plus	uncharacterized LOC101736682	LOC101736682	101736682	protein-coding	XM_004931116.5	XP_004931173.1	634	
NC_085115.1	13263547	13285108	9	plus	pyruvate kinase	LOC101737082	101737082	protein-coding	NM_001368243.1	NP_001355172.1	531	
NC_085115.1	13285845	13388406	9	plus	tropomodulin	LOC101737651	101737651	protein-coding	XM_012694731.4	XP_012550185.2	418	
NC_085115.1	13388613	13404325	9	minus	terpene synthase	LOC101737879	101737879	protein-coding	XM_004931124.5	XP_004931181.1	313	
NC_085115.1	13406259	13411173	9	plus	uncharacterized LOC101738272	LOC101738272	101738272	protein-coding	XM_004931128.5	XP_004931185.2	397	
NC_085115.1	13412620	13495942	9	minus	calcium-activated potassium channel slowpoke	LOC101738409	101738409	protein-coding	XM_062670199.1	XP_062526183.1	1169	
NC_085115.1	13501419	13503151	9	minus	protein CutA homolog	LOC101738543	101738543	protein-coding	XM_038012991.2	XP_037868919.1	141	
NC_085115.1	13513953	13532816	9	minus	spatzle-1	SPZ1	100136938	protein-coding	NM_001114594.1	NP_001108066.1	277	
NC_085115.1	13546728	13559334	9	minus	uncharacterized LOC101738673	LOC101738673	101738673	protein-coding	XM_012694657.4	XP_012550111.2	207	
NC_085115.1	13571366	13582570	9	minus	uncharacterized LOC101738812	LOC101738812	101738812	protein-coding	XM_004931132.5	XP_004931189.1	200	
NC_085115.1	13592772	13597001	9	minus	uncharacterized LOC101738945	LOC101738945	101738945	protein-coding	XM_004931133.5	XP_004931190.3	209	
NC_085115.1	13604060	13623088	9	minus	uncharacterized LOC101739086	LOC101739086	101739086	protein-coding	XM_004931134.5	XP_004931191.1	182	
NC_085115.1	13608790	13613880	9	minus	piggyBac transposable element-derived protein 4-like	LOC119629859	119629859	protein-coding	XM_038017275.2	XP_037873203.1	767	
NC_085115.1	13628367	13635399	9	minus	uncharacterized LOC110386081	LOC110386081	110386081	protein-coding	XM_038012967.2	XP_037868895.1	188	
NC_085115.1	13644087	13682025	9	plus	uncharacterized LOC101736774	LOC101736774	101736774	protein-coding	XM_038012968.2	XP_037868896.2	281	
NC_085115.1	13689079	13712616	9	plus	uncharacterized LOC105842326	LOC105842326	105842326	protein-coding	XM_062670202.1	XP_062526186.1	666	
NC_085115.1	13745535	13752266	9	minus	methionine aminopeptidase 1	LOC101739230	101739230	protein-coding	XM_004931135.5	XP_004931192.2	362	
NC_085115.1	13764780	13903687	9	plus	tolloid-like protein 1	LOC101736902	101736902	protein-coding	XM_012694771.4	XP_012550225.2	1349	
NC_085115.1	13904692	13909815	9	plus	cysteine-type peptidase	LOC733039	733039	protein-coding	NM_001047031.1	NP_001040496.1	247	
NC_085115.1	13915708	13946139	9	minus	calcium-binding mitochondrial carrier protein Aralar1	LOC101739472	101739472	protein-coding	XM_004931136.5	XP_004931193.1	682	
NC_085115.1	13945037	13962006	9	plus	gamma-glutamyltransferase	LOC100329145	100329145	protein-coding	NM_001171914.1	NP_001165385.1	526	
NC_085115.1	14020149	14028615	9	plus	uncharacterized LOC105842327	LOC105842327	105842327	protein-coding	XM_038013076.2	XP_037869004.1	390	
NC_085115.1	14150300	14153816	9	minus	uncharacterized protein K02A2.6-like	LOC119628937	119628937	protein-coding	XM_062670281.1	XP_062526265.1	676	
NC_085115.1	14156315	14228477	9	minus	acid sphingomyelinase-like phosphodiesterase 3a	LOC101737031	101737031	protein-coding	XM_038012978.2	XP_037868906.1	451	
NC_085115.1	14399481	14455935	9	minus	uncharacterized LOC101739610	LOC101739610	101739610	protein-coding	XM_038012876.2	XP_037868804.1	288	
NC_085115.1	14428573	14429292	9	minus	uncharacterized LOC119628939	LOC119628939	119628939	protein-coding	XM_038013052.1	XP_037868980.1	239	
NC_085115.1	14467687	14480781	9	plus	alkylglycerol monooxygenase	LOC105842328	105842328	protein-coding	XM_038012713.2	XP_037868641.1	444	
NC_085115.1	14504856	14539852	9	plus	alkylglycerol monooxygenase	LOC101737166	101737166	protein-coding	XM_004931198.5	XP_004931255.1	456	
NC_085115.1	14543974	14618091	9	plus	uncharacterized LOC110386044	LOC110386044	110386044	protein-coding	XM_038012960.1	XP_037868888.1	196	
NC_085115.1	14597086	14600467	9	minus	dynein axonemal intermediate chain 3	LOC101736106	101736106	protein-coding	XM_021351185.3	XP_021206860.2	1089	
NC_085115.1	14675077	14677031	9	plus	carcinine transporter	LOC101737315	101737315	protein-coding	XM_004931199.5	XP_004931256.1	579	
NC_085115.1	14700380	15003790	9	minus	centaurin-gamma-1A	LOC101737456	101737456	protein-coding	XM_038012836.2	XP_037868764.1	956	
NC_085115.1	14714945	15375517	9	plus	nimrod B	NimB	692423	protein-coding	NM_001043414.1	NP_001036879.1	580	
NC_085115.1	15009488	15082803	9	plus	ecdysteroid-inducible angiotensin-converting enzyme-related gene product	LOC692400	692400	protein-coding	NM_001043394.1	NP_001036859.1	648	
NC_085115.1	15085822	15105255	9	plus	angiotensin-converting enzyme-like	LOC134199406	134199406	protein-coding	XM_062670250.1	XP_062526234.1	686	
NC_085115.1	15114827	15304764	9	plus	angiotensin-converting enzyme	LOC134199405	134199405	protein-coding	XM_062670238.1	XP_062526222.1	808	
NC_085115.1	15159491	15161121	9	minus	cuticular protein glycine-rich 11	CPG11	100379511	protein-coding	NM_001173320.1	NP_001166791.1	271	
NC_085115.1	15198177	15214208	9	minus	cuticular protein glycine-rich 12	CPG12	692498	protein-coding	NM_001043487.1	NP_001036952.1	359	
NC_085115.1	15237246	15243841	9	minus	cuticular protein glycine-rich 13	CPG13	100379510	protein-coding	NM_001173319.1	NP_001166790.1	368	
NC_085115.1	15308962	15326634	9	plus	mucin-2	LOC101740249	101740249	protein-coding	XM_004931142.5	XP_004931199.3	697	
NC_085115.1	15334249	15363401	9	plus	putative mediator of RNA polymerase II transcription subunit 26	LOC101737743	101737743	protein-coding	XM_038012938.2	XP_037868866.1	1818	
NC_085115.1	15379265	15384560	9	minus	mucin-4	LOC110386581	110386581	protein-coding	XM_021353050.3	XP_021208725.2	748	
NC_085115.1	15393331	15433400	9	minus	multiple epidermal growth factor-like domains protein 10	LOC101737880	101737880	protein-coding	XM_038012954.2	XP_037868882.2	1136	
NC_085115.1	15436650	15442943	9	minus	putative uncharacterized protein DDB_G0286901	LOC101740469	101740469	protein-coding	XM_004931144.5	XP_004931201.2	636	
NC_085115.1	15450518	15492171	9	plus	uncharacterized LOC105842345	LOC105842345	105842345	protein-coding	XM_021351299.3	XP_021206974.1	372	
NC_085115.1	15501560	15504946	9	minus	heat shock cognate protein	Hsc70-4	692436	protein-coding	NM_001043427.1	NP_001036892.1	649	
NC_085115.1	15507438	15517871	9	minus	transmembrane protein 161B	LOC101738013	101738013	protein-coding	XM_038013095.2	XP_037869023.1	480	
NC_085115.1	15521032	15558598	9	plus	V-type proton ATPase 116 kDa subunit a 1	LOC101738141	101738141	protein-coding	XM_038012789.2	XP_037868717.1	852	
NC_085115.1	15561012	15564993	9	minus	uncharacterized LOC119628865	LOC119628865	119628865	protein-coding	XM_038012707.2	XP_037868635.1	318	
NC_085115.1	15575548	15578025	9	plus	protoporphyrinogen oxidase	LOC101740744	101740744	protein-coding	XM_038012884.2	XP_037868812.1	455	
NC_085115.1	15577951	15584561	9	minus	dynactin subunit 4	LOC101740885	101740885	protein-coding	XM_004931146.5	XP_004931203.1	485	
NC_085115.1	15595667	15629426	9	plus	phospholipase B1, membrane-associated	LOC101738273	101738273	protein-coding	XM_012694692.4	XP_012550146.1	405	
NC_085115.1	15637447	15665083	9	plus	alpha-tubulin	Tua2	692429	protein-coding	NM_001043420.1	NP_001036885.1	450	
NC_085115.1	15665964	15673249	9	minus	palmitoyltransferase ZDHHC6	LOC101738410	101738410	protein-coding	XM_012694680.4	XP_012550134.2	381	
NC_085115.1	15676970	15747824	9	plus	moesin/ezrin/radixin homolog 1	LOC101741026	101741026	protein-coding	XM_004931147.5	XP_004931204.1	574	
NC_085115.1	15748755	15760535	9	minus	zinc finger and BTB domain-containing protein 17	LOC101738544	101738544	protein-coding	XM_004931208.5	XP_004931265.1	438	
NC_085115.1	15770958	15777228	9	plus	olfactory receptor 19	Or-19	778490	protein-coding	NM_001098315.1	NP_001091785.1	401	
NC_085115.1	15778348	15784876	9	plus	olfactory receptor 20	Or-20	100127035	protein-coding	NM_001173134.1	NP_001166605.1	400	
NC_085115.1	15788465	15794010	9	minus	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	LOC101741452	101741452	protein-coding	XM_012694768.4	XP_012550222.1	366	
NC_085115.1	15794899	15797551	9	plus	peptide deformylase, mitochondrial	LOC101741594	101741594	protein-coding	XM_004931152.5	XP_004931209.1	216	
NC_085115.1	15798505	15829315	9	minus	cytoplasmic dynein 1 intermediate chain	LOC101741734	101741734	protein-coding	XM_004931156.4	XP_004931213.1	661	
NC_085115.1	15830713	15852085	9	plus	neurexin-4	LOC101742657	101742657	protein-coding	XM_004931162.4	XP_004931219.1	1275	
NC_085115.1	15892380	15928733	9	plus	cuticular protein RR-1 motif 4	CPR4	692371	protein-coding	NM_001043370.1	NP_001036835.1	105	
NC_085115.1	15941420	15945891	9	plus	cuticular protein RR-1 motif 5	CPR5	100379461	protein-coding	NM_001173272.1	NP_001166743.1	109	
NC_085115.1	16075924	16084305	9	plus	pickpocket protein 28	LOC101738674	101738674	protein-coding	XM_038012970.2	XP_037868898.1	475	
NC_085115.1	16225171	16227521	9	minus	uncharacterized LOC101744263	LOC101744263	101744263	protein-coding	XM_038013068.2	XP_037868996.1	610	
NC_085115.1	16232041	16232574	9	plus	craniofacial development protein 2-like	LOC101738813	101738813	protein-coding	XM_004931210.2	XP_004931267.2	177	
NC_085115.1	16502558	16506113	9	minus	uncharacterized LOC134199436	LOC134199436	134199436	protein-coding	XM_062670282.1	XP_062526266.1	1055	
NC_085115.1	16591543	16593845	9	minus	uncharacterized LOC119628940	LOC119628940	119628940	protein-coding	XM_038013054.1	XP_037868982.1	194	
NC_085115.1	16626208	16647367	9	plus	zinc finger protein 1	LOC101742904	101742904	protein-coding	XM_004931164.5	XP_004931221.2	835	
NC_085115.1	16658697	16679296	9	plus	E3 ubiquitin-protein ligase listerin	LOC101739231	101739231	protein-coding	XM_038012829.2	XP_037868757.2	1729	
NC_085115.1	16679292	16684480	9	minus	transmembrane protein 138	LOC101743135	101743135	protein-coding	XM_004931165.5	XP_004931222.1	159	
NC_085115.1	16685110	16688826	9	plus	NKAP family protein CG6066	LOC101743278	101743278	protein-coding	XM_004931166.4	XP_004931223.1	344	
NC_085115.1	16689483	16702259	9	minus	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	LOC101739367	101739367	protein-coding	XM_062670253.1	XP_062526237.1	523	
NC_085115.1	16813269	16814395	9	plus	craniofacial development protein 2-like	LOC119628941	119628941	protein-coding	XM_062670283.1	XP_062526267.1	359	
NC_085115.1	16877003	16889192	9	plus	nicotinic acetylcholine receptor subunit alpha 3	nAChRa3	100126152	protein-coding	NM_001109917.2	NP_001103387.2	515	
NC_085116.1	167240	175895	10	minus	probable RNA-directed DNA polymerase from transposon X-element	LOC101745345	101745345	protein-coding	XM_004930422.5	XP_004930479.3	347	
NC_085116.1	177672	180542	10	plus	ubiquitin-conjugating enzyme E2 S	LOC101745491	101745491	protein-coding	XM_021350815.3	XP_021206490.1	205	
NC_085116.1	185737	188927	10	minus	aquaporin AQPAe.a	LOC119628993	119628993	protein-coding	XM_038013253.2	XP_037869181.1	259	
NC_085116.1	195059	219430	10	minus	aquaporin	LOC101736678	101736678	protein-coding	XM_038013254.2	XP_037869182.1	296	
NC_085116.1	236646	242111	10	minus	brahma-associated protein of 60 kDa	LOC101735816	101735816	protein-coding	XM_038013414.2	XP_037869342.1	513	
NC_085116.1	472163	488785	10	plus	neuropeptide receptor A1	NGR-A1	100187557	protein-coding	NM_001134264.1	NP_001127736.1	410	
NC_085116.1	619428	681469	10	plus	nuclear receptor-binding protein homolog	LOC101746065	101746065	protein-coding	XM_038013399.2	XP_037869327.1	514	
NC_085116.1	681671	696126	10	minus	uncharacterized LOC105842214	LOC105842214	105842214	protein-coding	XM_038013395.2	XP_037869323.1	975	
NC_085116.1	699107	702430	10	plus	lymphokine-activated killer T-cell-originated protein kinase	LOC101736944	101736944	protein-coding	XM_062670372.1	XP_062526356.1	320	
NC_085116.1	702416	756498	10	minus	ankyrin repeat domain-containing protein 29	LOC101737076	101737076	protein-coding	XM_004930280.5	XP_004930337.1	306	
NC_085116.1	745086	754509	10	plus	uncharacterized LOC110385919	LOC110385919	110385919	protein-coding	XM_062670370.1	XP_062526354.1	1251	
NC_085116.1	755346	803439	10	minus	zinc finger protein 433	LOC101746208	101746208	protein-coding	XM_012693928.4	XP_012549382.2	933	
NC_085116.1	770613	774427	10	minus	uncharacterized LOC119629018	LOC119629018	119629018	protein-coding	XM_038013400.2	XP_037869328.1	390	
NC_085116.1	802112	1152478	10	plus	protein tiptop	LOC101737217	101737217	protein-coding	XM_012694048.4	XP_012549502.3	1079	
NC_085116.1	1306082	1307100	10	minus	cuticular protein glycine-rich 14	CPG14	100379509	protein-coding	NM_001173318.1	NP_001166789.1	199	
NC_085116.1	1449961	1451126	10	plus	uncharacterized LOC101737453	LOC101737453	101737453	protein-coding	XM_004930282.4	XP_004930339.1	241	
NC_085116.1	1525959	1528582	10	plus	probable DNA replication complex GINS protein PSF2	LOC101737596	101737596	protein-coding	XM_004930283.4	XP_004930340.1	197	
NC_085116.1	1529188	1684118	10	minus	TNF receptor-associated factor 4	LOC101737830	101737830	protein-coding	XM_004930285.5	XP_004930342.1	464	
NC_085116.1	1686336	1689485	10	minus	cytochrome b5 domain-containing protein 1	LOC101738053	101738053	protein-coding	XM_004930286.5	XP_004930343.1	281	
NC_085116.1	1690303	1695080	10	minus	small androgen receptor-interacting protein	LOC733036	733036	protein-coding	NM_001047028.1	NP_001040493.1	186	
NC_085116.1	1695916	1705971	10	minus	glutamate receptor ionotropic, kainate glr-3	LOC101746636	101746636	protein-coding	XM_062670357.1	XP_062526341.1	756	
NC_085116.1	1695972	1697282	10	plus	uncharacterized LOC101738268	LOC101738268	101738268	protein-coding	XM_004930287.4	XP_004930344.1	348	
NC_085116.1	1707195	1718406	10	minus	peroxisomal acyl-coenzyme A oxidase 3	LOC101746776	101746776	protein-coding	XM_038013418.2	XP_037869346.1	754	
NC_085116.1	1721378	1763293	10	plus	beta-1,3-glucosyltransferase	LOC101738405	101738405	protein-coding	XM_004930288.4	XP_004930345.1	484	
NC_085116.1	1785767	1916121	10	minus	integrin alpha-PS2	LOC101746917	101746917	protein-coding	XM_038013482.2	XP_037869410.1	1508	
NC_085116.1	1918979	1920776	10	minus	uncharacterized LOC101738540	LOC101738540	101738540	protein-coding	XM_004930289.5	XP_004930346.3	291	
NC_085116.1	1924868	1955767	10	minus	protein hobbit	LOC101747048	101747048	protein-coding	XM_038013314.2	XP_037869242.1	2220	
NC_085116.1	1957375	1959714	10	minus	large ribosomal subunit protein mL50	LOC101738671	101738671	protein-coding	XM_004930290.5	XP_004930347.1	187	
NC_085116.1	1959631	2033042	10	plus	mediator of RNA polymerase II transcription subunit 13	LOC101747187	101747187	protein-coding	XM_038013508.2	XP_037869436.1	1735	
NC_085116.1	2034016	2038567	10	plus	sesquipedalian-1	LOC101738809	101738809	protein-coding	XM_004930291.5	XP_004930348.1	238	
NC_085116.1	2038555	2356626	10	minus	protein outspread	LOC101735394	101735394	protein-coding	XM_038013576.2	XP_037869504.1	1951	
NC_085116.1	2166085	2168025	10	minus	leucine-rich repeat-containing protein 74B	LOC101739042	101739042	protein-coding	XM_004930293.4	XP_004930350.1	548	
NC_085116.1	2359861	2386408	10	plus	peroxisomal acyl-coenzyme A oxidase 3	LOC101735662	101735662	protein-coding	XM_038013448.2	XP_037869376.1	687	
NC_085116.1	2386812	2415375	10	minus	SH3 domain-binding protein 5 homolog	LOC101735808	101735808	protein-coding	XM_004930435.5	XP_004930492.1	470	
NC_085116.1	2410358	2415024	10	minus	F-BAR domain only protein 2	LOC110384706	110384706	protein-coding	XM_021350808.3	XP_021206483.3	891	
NC_085116.1	2415651	2426010	10	plus	sin3 histone deacetylase corepressor complex component SDS3	LOC101739420	101739420	protein-coding	XM_004930295.4	XP_004930352.1	339	
NC_085116.1	2439481	2503014	10	plus	uncharacterized LOC101735378	LOC101735378	101735378	protein-coding	XM_038013455.2	XP_037869383.1	375	
NC_085116.1	2481511	2484164	10	plus	uncharacterized LOC105842772	LOC105842772	105842772	protein-coding	XM_038013460.2	XP_037869388.2	179	
NC_085116.1	2504253	2510436	10	plus	tumor protein p63-regulated gene 1-like protein	LOC101742591	101742591	protein-coding	XM_012690226.4	XP_012545680.1	308	
NC_085116.1	2511082	2518392	10	minus	uncharacterized LOC119629028	LOC119629028	119629028	protein-coding	XM_038013451.2	XP_037869379.2	438	
NC_085116.1	2518908	2617238	10	plus	hemocytin-like	LOC101735937	101735937	protein-coding	XM_062670358.1	XP_062526342.1	4245	
NC_085116.1	2579419	2587320	10	plus	cytochrome P450 6B2-like	LOC134198643	134198643	protein-coding	XM_038013450.2	XP_037869378.1	501	
NC_085116.1	2617455	2623041	10	minus	uncharacterized protein F54F2.9	LOC101739750	101739750	protein-coding	XM_004930297.5	XP_004930354.2	466	
NC_085116.1	2627874	2637815	10	plus	uncharacterized LOC101739887	LOC101739887	101739887	protein-coding	XM_004930298.5	XP_004930355.2	468	
NC_085116.1	2638545	2642280	10	plus	YEATS domain-containing protein 4	LOC101740019	101740019	protein-coding	XM_004930299.4	XP_004930356.1	230	
NC_085116.1	2654111	2667157	10	plus	solute carrier family 25 member 35	LOC101740245	101740245	protein-coding	XM_004930301.5	XP_004930358.2	299	
NC_085116.1	2668794	2672385	10	minus	uncharacterized LOC101740379	LOC101740379	101740379	protein-coding	XM_004930302.5	XP_004930359.2	1040	
NC_085116.1	2673766	2679542	10	minus	uncharacterized LOC101740511	LOC101740511	101740511	protein-coding	XM_004930303.5	XP_004930360.2	1297	
NC_085116.1	2680949	2692826	10	plus	solute carrier family 25 member 35	LOC101736062	101736062	protein-coding	XM_038013227.2	XP_037869155.1	313	
NC_085116.1	2693871	3627785	10	minus	uncharacterized LOC110385588	LOC110385588	110385588	protein-coding	XM_038013437.2	XP_037869365.1	506	
NC_085116.1	2693871	2725952	10	minus	solute carrier family 2, facilitated glucose transporter member 1	LOC101736199	101736199	protein-coding	XM_038013365.2	XP_037869293.1	528	
NC_085116.1	2726926	2751111	10	plus	protein HIRA homolog	LOC101741022	101741022	protein-coding	XM_004930306.5	XP_004930363.1	897	
NC_085116.1	2752804	2980567	10	minus	death associated protein kinase	dapk	100529237	protein-coding	NM_001202537.1	NP_001189466.1	413	
NC_085116.1	2981564	2991785	10	minus	glutathione S-transferase D7	LOC101736583	101736583	protein-coding	XM_004930440.5	XP_004930497.3	364	
NC_085116.1	2996267	3018303	10	minus	calcitonin gene-related peptide-receptor component protein	LOC692930	692930	protein-coding	NM_001046772.1	NP_001040237.1	127	
NC_085116.1	3004197	3006238	10	plus	glutamine synthetase 1, mitochondrial	LOC101741588	101741588	protein-coding	XM_004930310.4	XP_004930367.2	395	
NC_085116.1	3007118	3008723	10	plus	glutamine synthetase 1, mitochondrial	LOC101741446	101741446	protein-coding	XM_004930309.5	XP_004930366.4	404	
NC_085116.1	3011954	3124791	10	minus	E3 ubiquitin-protein ligase HECW2	LOC101741169	101741169	protein-coding	XM_038013547.2	XP_037869475.1	1580	
NC_085116.1	3012103	3013372	10	plus	plasminogen activator inhibitor 1 RNA-binding protein-like	VIG	101741313	protein-coding	NM_001279364.1	NP_001266293.1	389	
NC_085116.1	3129715	3137708	10	plus	uncharacterized LOC101742028	LOC101742028	101742028	protein-coding	XM_004930312.4	XP_004930369.2	144	
NC_085116.1	3131734	3135274	10	plus	uncharacterized LOC119629016	LOC119629016	119629016	protein-coding	XM_038013377.1	XP_037869305.1	721	
NC_085116.1	3136568	3140545	10	minus	transmembrane protein 201 homolog	LOC101741879	101741879	protein-coding	XM_004930311.5	XP_004930368.1	678	
NC_085116.1	3140971	3151777	10	plus	tetratricopeptide repeat protein 27	LOC101742170	101742170	protein-coding	XM_004930313.5	XP_004930370.2	786	
NC_085116.1	3153823	3157591	10	plus	rabenosyn-5	LOC101742311	101742311	protein-coding	XM_004930314.5	XP_004930371.2	444	
NC_085116.1	3158245	3161208	10	minus	dynein axonemal intermediate chain 4	LOC101736727	101736727	protein-coding	XM_004930441.4	XP_004930498.3	732	
NC_085116.1	3163026	3182175	10	plus	uncharacterized LOC101736856	LOC101736856	101736856	protein-coding	XM_021350790.3	XP_021206465.3	446	
NC_085116.1	3184156	3186314	10	minus	THO complex subunit 6	LOC101736989	101736989	protein-coding	XM_038013518.2	XP_037869446.1	325	
NC_085116.1	3186825	3213757	10	plus	serine/arginine repetitive matrix protein 2	LOC101742464	101742464	protein-coding	XM_004930316.5	XP_004930373.1	1059	
NC_085116.1	3213572	3216827	10	minus	peroxisomal membrane protein PMP22	LOC733112	733112	protein-coding	NM_001047059.1	NP_001040524.1	186	
NC_085116.1	3218018	3223411	10	minus	uncharacterized LOC101742849	LOC101742849	101742849	protein-coding	XM_004930318.5	XP_004930375.1	512	
