Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_087090.1	4872642	4874273	3	plus	facilitated trehalose transporter Tret1-like	LOC135087668	135087668	protein-coding	XM_063982412.1	XP_063838482.1	135	
NC_087090.1	4876413	4878714	3	plus	facilitated trehalose transporter Tret1-like	LOC135088142	135088142	protein-coding	XM_063983025.1	XP_063839095.1	372	
NC_087090.1	4910732	4941106	3	minus	alpha-tocopherol transfer protein-like	LOC135087669	135087669	protein-coding	XM_063982413.1	XP_063838483.1	308	
NC_087090.1	4946900	4975872	3	plus	alpha-tocopherol transfer protein-like	LOC135087670	135087670	protein-coding	XM_063982414.1	XP_063838484.1	322	
NC_087090.1	4975862	4994288	3	minus	clavesin-1-like	LOC135087671	135087671	protein-coding	XM_063982416.1	XP_063838486.1	309	
NC_087090.1	4999912	5048571	3	minus	clavesin-1	LOC135087675	135087675	protein-coding	XM_063982421.1	XP_063838491.1	292	
NC_087090.1	5051839	5055922	3	minus	general transcription factor 3C polypeptide 5	LOC135087674	135087674	protein-coding	XM_063982420.1	XP_063838490.1	485	
NC_087090.1	5058824	5060300	3	minus	putative nuclease HARBI1	LOC135088244	135088244	protein-coding	XM_063983123.1	XP_063839193.1	351	
NC_087090.1	5060385	5062332	3	minus	uncharacterized LOC135088245	LOC135088245	135088245	protein-coding	XM_063983126.1	XP_063839196.1	271	
NC_087090.1	5062597	5064310	3	plus	uncharacterized LOC135087695	LOC135087695	135087695	protein-coding	XM_063982446.1	XP_063838516.1	366	
NC_087090.1	5064246	5065617	3	minus	proteasome subunit alpha type-7-1	LOC135087697	135087697	protein-coding	XM_063982450.1	XP_063838520.1	249	
NC_087090.1	5067551	5071423	3	plus	uncharacterized LOC135087676	LOC135087676	135087676	protein-coding	XM_063982424.1	XP_063838494.1	264	
NC_087090.1	5080212	5082438	3	plus	coiled-coil domain-containing protein 43	LOC135087681	135087681	protein-coding	XM_063982426.1	XP_063838496.1	201	
NC_087090.1	5082495	5084156	3	minus	uncharacterized LOC135087678	LOC135087678	135087678	protein-coding	XM_063982425.1	XP_063838495.1	383	
NC_087090.1	5085422	5088278	3	plus	uncharacterized LOC135088246	LOC135088246	135088246	protein-coding	XM_063983127.1	XP_063839197.1	160	
NC_087090.1	5112812	5125683	3	minus	myrosinase 1-like	LOC135087368	135087368	protein-coding	XM_063982147.1	XP_063838217.1	881	
NC_087090.1	5126078	5127128	3	minus	uncharacterized LOC135087698	LOC135087698	135087698	protein-coding	XM_063982451.1	XP_063838521.1	153	
NC_087090.1	5127554	5130230	3	minus	myrosinase 1-like	LOC135087693	135087693	protein-coding	XM_063982443.1	XP_063838513.1	513	
NC_087090.1	5178936	5186495	3	plus	uncharacterized LOC135088143	LOC135088143	135088143	protein-coding	XM_063983026.1	XP_063839096.1	2016	
NC_087090.1	5220324	5299155	3	minus	uncharacterized LOC135088144	LOC135088144	135088144	protein-coding	XM_063983027.1	XP_063839097.1	806	
NC_087090.1	5299315	5306730	3	minus	uncharacterized LOC135087682	LOC135087682	135087682	protein-coding	XM_063982427.1	XP_063838497.1	565	
NC_087090.1	5321188	5324573	3	minus	trypsin alpha-3-like	LOC135088249	135088249	protein-coding	XM_063983128.1	XP_063839198.1	275	
NC_087090.1	5345031	5369257	3	plus	monocarboxylate transporter 12	LOC135087691	135087691	protein-coding	XM_063982439.1	XP_063838509.1	541	
NC_087090.1	5368461	5372743	3	minus	uncharacterized LOC135087696	LOC135087696	135087696	protein-coding	XM_063982448.1	XP_063838518.1	339	
NC_087090.1	5373992	5377034	3	minus	visual pigment-like receptor peropsin	LOC135088251	135088251	protein-coding	XM_063983129.1	XP_063839199.1	339	
NC_087090.1	5381036	5392772	3	plus	SET domain-containing protein SmydA-8-like	LOC135088146	135088146	protein-coding	XM_063983030.1	XP_063839100.1	444	
NC_087090.1	5381500	5382677	3	plus	SET domain-containing protein SmydA-8-like	LOC135088145	135088145	protein-coding	XM_063983028.1	XP_063839098.1	370	
NC_087090.1	5397544	5399242	3	plus	probable alpha-aspartyl dipeptidase	LOC135087684	135087684	protein-coding	XM_063982431.1	XP_063838501.1	244	
NC_087090.1	5399181	5404842	3	minus	zinc finger CCCH domain-containing protein 13-like	LOC135087683	135087683	protein-coding	XM_063982428.1	XP_063838498.1	1014	
NC_087090.1	5409824	5412757	3	plus	pre-mRNA-splicing factor syf1 homolog	LOC135087685	135087685	protein-coding	XM_063982432.1	XP_063838502.1	848	
NC_087090.1	5412752	5415410	3	minus	F-box only protein 42	LOC135087686	135087686	protein-coding	XM_063982433.1	XP_063838503.1	619	
NC_087090.1	5415834	5490990	3	plus	mitoguardin	LOC135087699	135087699	protein-coding	XM_063982452.1	XP_063838522.1	526	
NC_087090.1	5426886	5463026	3	minus	protein unzipped	LOC135087694	135087694	protein-coding	XM_063982445.1	XP_063838515.1	457	
NC_087090.1	5474407	5478729	3	minus	THAP domain-containing protein 5-like	LOC135088254	135088254	protein-coding	XM_063983130.1	XP_063839200.1	255	
NC_087090.1	5479693	5481971	3	plus	uncharacterized LOC135088255	LOC135088255	135088255	protein-coding	XM_063983131.1	XP_063839201.1	259	
NC_087090.1	5491057	5506921	3	minus	eukaryotic translation initiation factor 4E-binding protein Mextli	LOC135087692	135087692	protein-coding	XM_063982440.1	XP_063838510.1	511	
NC_087090.1	5509379	5564584	3	plus	piezo-type mechanosensitive ion channel component	LOC135087688	135087688	protein-coding	XM_063982434.1	XP_063838504.1	2450	
NC_087090.1	5564573	5569305	3	minus	DNA-directed RNA polymerase II subunit RPB2	LOC135087690	135087690	protein-coding	XM_063982438.1	XP_063838508.1	1176	
NC_087090.1	5574217	5579086	3	plus	LIM domain-containing protein jub	LOC135087700	135087700	protein-coding	XM_063982453.1	XP_063838523.1	717	
NC_087090.1	5582422	5584274	3	minus	uncharacterized LOC135088147	LOC135088147	135088147	protein-coding	XM_063983031.1	XP_063839101.1	590	
NC_087090.1	5590227	5597365	3	minus	uncharacterized LOC135087702	LOC135087702	135087702	protein-coding	XM_063982456.1	XP_063838526.1	658	
NC_087090.1	5594405	5596163	3	minus	uncharacterized LOC135087704	LOC135087704	135087704	protein-coding	XM_063982458.1	XP_063838528.1	535	
NC_087090.1	5597407	5606573	3	plus	uncharacterized LOC135087705	LOC135087705	135087705	protein-coding	XM_063982459.1	XP_063838529.1	413	
NC_087090.1	5606659	5618600	3	minus	GATOR2 complex protein WDR59	LOC135087701	135087701	protein-coding	XM_063982454.1	XP_063838524.1	949	
NC_087090.1	5618855	5624591	3	plus	metallophosphoesterase 1	LOC135087706	135087706	protein-coding	XM_063982462.1	XP_063838532.1	389	
NC_087090.1	5626362	5628924	3	minus	uncharacterized LOC135088257	LOC135088257	135088257	protein-coding	XM_063983134.1	XP_063839204.1	156	
NC_087090.1	5641900	5706474	3	minus	whirlin	LOC135088148	135088148	protein-coding	XM_063983032.1	XP_063839102.1	578	
NC_087090.1	5748605	5789055	3	minus	ral guanine nucleotide dissociation stimulator	LOC135087709	135087709	protein-coding	XM_063982467.1	XP_063838537.1	744	
NC_087090.1	5791328	5792818	3	plus	mRNA cap guanine-N7 methyltransferase	LOC135088259	135088259	protein-coding	XM_063983135.1	XP_063839205.1	406	
NC_087090.1	5793433	5798976	3	plus	DNA topoisomerase I, mitochondrial	LOC135087708	135087708	protein-coding	XM_063982465.1	XP_063838535.1	942	
NC_087090.1	5798965	5818755	3	minus	ATPase WRNIP1-like	LOC135087711	135087711	protein-coding	XM_063982477.1	XP_063838547.1	518	
NC_087090.1	5822563	5829763	3	plus	protein O-mannosyltransferase 1	LOC135087724	135087724	protein-coding	XM_063982491.1	XP_063838561.1	779	
NC_087090.1	5831433	5832919	3	minus	proteasome subunit beta type-7-like	LOC135087726	135087726	protein-coding	XM_063982494.1	XP_063838564.1	280	
NC_087090.1	5833200	5835029	3	plus	dnaJ homolog shv	LOC135087725	135087725	protein-coding	XM_063982493.1	XP_063838563.1	353	
NC_087090.1	5835093	5872601	3	minus	probable phosphorylase b kinase regulatory subunit beta	LOC135087728	135087728	protein-coding	XM_063982496.1	XP_063838566.1	1084	
NC_087090.1	5862248	5865205	3	minus	uncharacterized LOC135087712	LOC135087712	135087712	protein-coding	XM_063982478.1	XP_063838548.1	342	
NC_087090.1	5869394	5880684	3	plus	ubiquitin carboxyl-terminal hydrolase CYLD	LOC135087729	135087729	protein-coding	XM_063982497.1	XP_063838567.1	616	
NC_087090.1	5888512	5891329	3	minus	protein O-glucosyltransferase 2-like	LOC135088260	135088260	protein-coding	XM_063983136.1	XP_063839206.1	493	
NC_087090.1	5892114	5897162	3	plus	uncharacterized LOC135087713	LOC135087713	135087713	protein-coding	XM_063982479.1	XP_063838549.1	312	
NC_087090.1	5897499	5903792	3	plus	large ribosomal subunit protein uL3m	LOC135087714	135087714	protein-coding	XM_063982481.1	XP_063838551.1	358	
NC_087090.1	5904636	5909711	3	minus	proline-rich protein 2-like	LOC135088261	135088261	protein-coding	XM_063983137.1	XP_063839207.1	445	
NC_087090.1	5912189	5914945	3	plus	alpha-methylacyl-CoA racemase	LOC135087716	135087716	protein-coding	XM_063982483.1	XP_063838553.1	376	
NC_087090.1	5914650	5916464	3	minus	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog	LOC135087715	135087715	protein-coding	XM_063982482.1	XP_063838552.1	393	
NC_087090.1	5917032	5923389	3	plus	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	LOC135088149	135088149	protein-coding	XM_063983034.1	XP_063839104.1	668	
NC_087090.1	5926289	5929906	3	minus	repressor of RNA polymerase III transcription MAF1 homolog	LOC135087720	135087720	protein-coding	XM_063982487.1	XP_063838557.1	222	
NC_087090.1	5930046	5933893	3	plus	ATP synthase mitochondrial F1 complex assembly factor 2	LOC135087719	135087719	protein-coding	XM_063982486.1	XP_063838556.1	281	
NC_087090.1	5934127	5939082	3	plus	uncharacterized LOC135087718	LOC135087718	135087718	protein-coding	XM_063982485.1	XP_063838555.1	1147	
NC_087090.1	5951415	5952509	3	minus	small nuclear ribonucleoprotein-associated protein B	LOC135088262	135088262	protein-coding	XM_063983138.1	XP_063839208.1	188	
NC_087090.1	5960609	5963245	3	plus	Krueppel homolog 1-like	LOC135087722	135087722	protein-coding	XM_063982489.1	XP_063838559.1	427	
NC_087090.1	5984535	5986399	3	plus	pre-mRNA-splicing factor CWC25 homolog	LOC135088150	135088150	protein-coding	XM_063983035.1	XP_063839105.1	453	
NC_087090.1	5986237	6006965	3	minus	uncharacterized LOC135088151	LOC135088151	135088151	protein-coding	XM_063983036.1	XP_063839106.1	3195	
NC_087090.1	6007260	6031592	3	plus	hydrocephalus-inducing protein homolog	LOC135088152	135088152	protein-coding	XM_063983038.1	XP_063839108.1	4924	
NC_087090.1	6031818	6034571	3	minus	nucleolar complex protein 2 homolog	LOC135087730	135087730	protein-coding	XM_063982498.1	XP_063838568.1	684	
NC_087090.1	6035063	6037911	3	plus	growth hormone-inducible transmembrane protein-like	LOC135088264	135088264	protein-coding	XM_063983139.1	XP_063839209.1	331	
NC_087090.1	6040283	6042475	3	minus	uncharacterized LOC135087738	LOC135087738	135087738	protein-coding	XM_063982508.1	XP_063838578.1	133	
NC_087090.1	6043635	6044893	3	plus	uncharacterized LOC135087736	LOC135087736	135087736	protein-coding	XM_063982506.1	XP_063838576.1	138	
NC_087090.1	6050904	6052342	3	plus	growth hormone-inducible transmembrane protein-like	LOC135087578	135087578	protein-coding	XM_063982305.1	XP_063838375.1	240	
NC_087090.1	6053108	6058216	3	minus	uncharacterized LOC135087731	LOC135087731	135087731	protein-coding	XM_063982500.1	XP_063838570.1	1071	
NC_087090.1	6058970	6060319	3	plus	general transcription factor IIF subunit 2	LOC135088266	135088266	protein-coding	XM_063983141.1	XP_063839211.1	271	
NC_087090.1	6061076	6063583	3	minus	tetraspanin-7-like	LOC135088267	135088267	protein-coding	XM_063983142.1	XP_063839212.1	238	
NC_087090.1	6065336	6079357	3	plus	uncharacterized LOC135087733	LOC135087733	135087733	protein-coding	XM_063982503.1	XP_063838573.1	400	
NC_087090.1	6079348	6083051	3	minus	transport and Golgi organization protein 6	LOC135087732	135087732	protein-coding	XM_063982502.1	XP_063838572.1	914	
NC_087090.1	6083249	6084181	3	plus	NEDD8	LOC135087734	135087734	protein-coding	XM_063982504.1	XP_063838574.1	77	
NC_087090.1	6086929	6111103	3	minus	ubiquitin-conjugating enzyme E2Q-like protein 1	LOC135087735	135087735	protein-coding	XM_063982505.1	XP_063838575.1	252	
NC_087090.1	6111246	6122940	3	minus	solute carrier family 66 member 2	LOC135087740	135087740	protein-coding	XM_063982511.1	XP_063838581.1	290	
NC_087090.1	6125953	6127081	3	plus	mitochondrial import inner membrane translocase subunit Tim21	LOC135088269	135088269	protein-coding	XM_063983145.1	XP_063839215.1	223	
NC_087090.1	6127180	6128786	3	minus	transmembrane protein 231	LOC135088268	135088268	protein-coding	XM_063983143.1	XP_063839213.1	307	
NC_087090.1	6131003	6135485	3	plus	hemocyte protein-glutamine gamma-glutamyltransferase-like	LOC135087741	135087741	protein-coding	XM_063982514.1	XP_063838584.1	984	
NC_087090.1	6142032	6158173	3	plus	annulin-like	LOC135087743	135087743	protein-coding	XM_063982515.1	XP_063838585.1	777	
NC_087090.1	6158284	6160012	3	minus	protein tilB-like	LOC135088270	135088270	protein-coding	XM_063983146.1	XP_063839216.1	432	
NC_087090.1	6186791	6265866	3	plus	T-box transcription factor TBX20-like	LOC135088153	135088153	protein-coding	XM_063983039.1	XP_063839109.1	437	
NC_087090.1	6297937	6303777	3	minus	uncharacterized LOC135087744	LOC135087744	135087744	protein-coding	XM_063982520.1	XP_063838590.1	197	
NC_087090.1	6318243	6365464	3	minus	T-box transcription factor TBX20-like	LOC135088272	135088272	protein-coding	XM_063983147.1	XP_063839217.1	544	
NC_087090.1	6445888	6447185	3	minus	uncharacterized LOC135088273	LOC135088273	135088273	protein-coding	XM_063983149.1	XP_063839219.1	154	
NC_087090.1	6450666	6454107	3	minus	sorting nexin-20	LOC135087746	135087746	protein-coding	XM_063982522.1	XP_063838592.1	255	
NC_087090.1	6457393	6458874	3	minus	NADH-ubiquinone oxidoreductase 49 kDa subunit-like	LOC135088274	135088274	protein-coding	XM_063983150.1	XP_063839220.1	456	
NC_087090.1	6459018	6489365	3	minus	large neutral amino acids transporter small subunit 2	LOC135087747	135087747	protein-coding	XM_063982523.1	XP_063838593.1	479	
NC_087090.1	6488823	6491632	3	plus	homeobox protein Mohawk	LOC135087748	135087748	protein-coding	XM_063982525.1	XP_063838595.1	286	
NC_087090.1	6491716	6492852	3	minus	large ribosomal subunit protein uL10m	LOC135087749	135087749	protein-coding	XM_063982526.1	XP_063838596.1	246	
NC_087090.1	6495847	6499714	3	plus	angio-associated migratory cell protein	LOC135087750	135087750	protein-coding	XM_063982528.1	XP_063838598.1	408	
NC_087090.1	6502491	6517677	3	plus	large neutral amino acids transporter small subunit 1	LOC135087759	135087759	protein-coding	XM_063982547.1	XP_063838617.1	494	
NC_087090.1	6525390	6538960	3	plus	zinc transporter ZIP10	LOC135087751	135087751	protein-coding	XM_063982530.1	XP_063838600.1	487	
NC_087090.1	6554519	6555349	3	minus	ER membrane protein complex subunit 4	LOC135088276	135088276	protein-coding	XM_063983152.1	XP_063839222.1	172	
NC_087090.1	6556934	6560152	3	minus	tyrosine aminotransferase-like	LOC135087752	135087752	protein-coding	XM_063982531.1	XP_063838601.1	444	
NC_087090.1	6562794	6571199	3	minus	tyrosine aminotransferase-like	LOC135087764	135087764	protein-coding	XM_063982551.1	XP_063838621.1	434	
NC_087090.1	6574727	6576148	3	plus	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	LOC135087766	135087766	protein-coding	XM_063982555.1	XP_063838625.1	312	
NC_087090.1	6576462	6578717	3	minus	platelet-activating factor acetylhydrolase IB subunit beta homolog	LOC135087767	135087767	protein-coding	XM_063982557.1	XP_063838627.1	225	
NC_087090.1	6580015	6581317	3	plus	deubiquitinase OTUD6B	LOC135087754	135087754	protein-coding	XM_063982534.1	XP_063838604.1	288	
NC_087090.1	6581190	6583973	3	minus	lysine--tRNA ligase	LOC135087753	135087753	protein-coding	XM_063982532.1	XP_063838602.1	601	
NC_087090.1	6590851	6594194	3	plus	protein Mo25	LOC135087765	135087765	protein-coding	XM_063982553.1	XP_063838623.1	335	
NC_087090.1	6594788	6610606	3	minus	uncharacterized LOC135087769	LOC135087769	135087769	protein-coding	XM_063982559.1	XP_063838629.1	1570	
NC_087090.1	6644591	6819811	3	plus	uncharacterized LOC135087757	LOC135087757	135087757	protein-coding	XM_063982536.1	XP_063838606.1	1190	
NC_087090.1	6687011	6688378	3	minus	uncharacterized LOC135088154	LOC135088154	135088154	protein-coding	XM_063983040.1	XP_063839110.1	113	
NC_087090.1	6819885	6831515	3	minus	profilin	LOC135087768	135087768	protein-coding	XM_063982558.1	XP_063838628.1	126	
NC_087090.1	6837110	6840377	3	plus	eukaryotic initiation factor 4A	LOC135087756	135087756	protein-coding	XM_063982535.1	XP_063838605.1	419	
NC_087090.1	6851937	6858923	3	minus	uncharacterized LOC135087760	LOC135087760	135087760	protein-coding	XM_063982548.1	XP_063838618.1	459	
NC_087090.1	6860690	6864006	3	plus	activating signal cointegrator 1 complex subunit 1	LOC135088280	135088280	protein-coding	XM_063983153.1	XP_063839223.1	366	
NC_087090.1	6867731	6931438	3	plus	schwannomin-interacting protein 1 homolog	LOC135087758	135087758	protein-coding	XM_063982541.1	XP_063838611.1	893	
NC_087090.1	6966169	6977690	3	plus	zinc finger protein 628-like	LOC135088282	135088282	protein-coding	XM_063983154.1	XP_063839224.1	365	
NC_087090.1	6995117	6998582	3	plus	THAP domain-containing protein 5-like	LOC135088285	135088285	protein-coding	XM_063983156.1	XP_063839226.1	255	
NC_087090.1	7000310	7004458	3	minus	transmembrane 9 superfamily member 4	LOC135087773	135087773	protein-coding	XM_063982561.1	XP_063838631.1	625	
NC_087090.1	7005666	7006982	3	plus	neuroguidin	LOC135087774	135087774	protein-coding	XM_063982562.1	XP_063838632.1	298	
NC_087090.1	7009885	7013397	3	minus	uncharacterized LOC135087775	LOC135087775	135087775	protein-coding	XM_063982564.1	XP_063838634.1	220	
NC_087090.1	7013688	7017471	3	minus	radial spoke head 10 homolog B-like	LOC135088286	135088286	protein-coding	XM_063983157.1	XP_063839227.1	805	
NC_087090.1	7021867	7034571	3	minus	CDK5 and ABL1 enzyme substrate 2	LOC135087778	135087778	protein-coding	XM_063982569.1	XP_063838639.1	534	
NC_087090.1	7034946	7207283	3	plus	E3 ubiquitin-protein ligase mib1	LOC135087581	135087581	protein-coding	XM_063982309.1	XP_063838379.1	1178	
NC_087090.1	7207325	7213775	3	minus	WW domain-containing oxidoreductase-like	LOC135087779	135087779	protein-coding	XM_063982572.1	XP_063838642.1	380	
NC_087090.1	7214613	7218421	3	plus	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	LOC135087776	135087776	protein-coding	XM_063982565.1	XP_063838635.1	886	
NC_087090.1	7218690	7220040	3	minus	succinate dehydrogenase assembly factor 4, mitochondrial-like	LOC135087777	135087777	protein-coding	XM_063982568.1	XP_063838638.1	117	
NC_087090.1	7246855	7248911	3	plus	V-type proton ATPase subunit d	LOC135087782	135087782	protein-coding	XM_063982573.1	XP_063838643.1	348	
NC_087090.1	7248718	7250019	3	minus	probable tRNA(His) guanylyltransferase	LOC135087783	135087783	protein-coding	XM_063982574.1	XP_063838644.1	303	
NC_087090.1	7281375	7283401	3	minus	conserved oligomeric Golgi complex subunit 6	LOC135087785	135087785	protein-coding	XM_063982576.1	XP_063838646.1	619	
NC_087090.1	7289374	7291015	3	plus	large ribosomal subunit protein uL15m	LOC135087786	135087786	protein-coding	XM_063982577.1	XP_063838647.1	294	
NC_087090.1	7293239	7300934	3	minus	adenosylhomocysteinase	LOC135087787	135087787	protein-coding	XM_063982578.1	XP_063838648.1	430	
NC_087090.1	7311233	7318782	3	minus	importin subunit beta-1	LOC135087788	135087788	protein-coding	XM_063982579.1	XP_063838649.1	886	
NC_087090.1	7321256	7322434	3	plus	small ribosomal subunit protein uS13	LOC135087790	135087790	protein-coding	XM_063982582.1	XP_063838652.1	152	
NC_087090.1	7323374	7324638	3	minus	protein catecholamines up	LOC135087789	135087789	protein-coding	XM_063982581.1	XP_063838651.1	348	
NC_087090.1	7329642	7333750	3	minus	carcinine transporter	LOC135087792	135087792	protein-coding	XM_063982583.1	XP_063838653.1	635	
NC_087090.1	7334274	7337247	3	minus	uncharacterized LOC135087794	LOC135087794	135087794	protein-coding	XM_063982585.1	XP_063838655.1	132	
NC_087090.1	7338378	7340965	3	minus	myb-like protein AA	LOC135088155	135088155	protein-coding	XM_063983041.1	XP_063839111.1	603	
NC_087090.1	7340912	7366520	3	minus	uncharacterized LOC135087793	LOC135087793	135087793	protein-coding	XM_063982584.1	XP_063838654.1	250	
NC_087090.1	7368510	7375761	3	plus	major facilitator superfamily domain-containing protein 1-like	LOC135087795	135087795	protein-coding	XM_063982588.1	XP_063838658.1	513	
NC_087090.1	7375310	7378158	3	minus	probable palmitoyltransferase ZDHHC24	LOC135087796	135087796	protein-coding	XM_063982589.1	XP_063838659.1	279	
NC_087090.1	7378870	7383557	3	minus	trifunctional enzyme subunit alpha, mitochondrial	LOC135087797	135087797	protein-coding	XM_063982590.1	XP_063838660.1	763	
NC_087090.1	7388904	7398890	3	plus	aromatic-L-amino-acid decarboxylase	LOC135087798	135087798	protein-coding	XM_063982591.1	XP_063838661.1	478	
NC_087090.1	7400259	7402222	3	plus	spermine oxidase-like	LOC135088289	135088289	protein-coding	XM_063983158.1	XP_063839228.1	533	
NC_087090.1	7405738	7407656	3	minus	BTB/POZ domain-containing protein 1-like	LOC135088291	135088291	protein-coding	XM_063983159.1	XP_063839229.1	446	
NC_087090.1	7408334	7417137	3	plus	uncharacterized LOC135087799	LOC135087799	135087799	protein-coding	XM_063982592.1	XP_063838662.1	1645	
NC_087090.1	7417912	7426936	3	minus	vacuolar protein sorting-associated protein 52 homolog	LOC135087800	135087800	protein-coding	XM_063982593.1	XP_063838663.1	664	
NC_087090.1	7432871	7447672	3	minus	probable nuclear hormone receptor HR38	LOC135087801	135087801	protein-coding	XM_063982595.1	XP_063838665.1	609	
NC_087090.1	7458902	7467282	3	plus	5'-AMP-activated protein kinase subunit gamma-2-like	LOC135087802	135087802	protein-coding	XM_063982596.1	XP_063838666.1	684	
NC_087090.1	7578328	7580495	3	plus	COP9 signalosome complex subunit 8	LOC135087804	135087804	protein-coding	XM_063982603.1	XP_063838673.1	186	
NC_087090.1	7580248	7612768	3	minus	chitin synthase chs-2	LOC135087803	135087803	protein-coding	XM_063982598.1	XP_063838668.1	1573	
NC_087090.1	7615949	7639309	3	minus	chitin synthase chs-2-like	LOC135087806	135087806	protein-coding	XM_063982605.1	XP_063838675.1	1521	
NC_087090.1	7640375	7644426	3	minus	MPN domain-containing protein CG4751	LOC135087807	135087807	protein-coding	XM_063982606.1	XP_063838676.1	902	
NC_087090.1	7650917	7652880	3	plus	ras-related protein Rab-30	LOC135087809	135087809	protein-coding	XM_063982608.1	XP_063838678.1	207	
NC_087090.1	7653131	7656871	3	minus	cysteine desulfurase, mitochondrial	LOC135087808	135087808	protein-coding	XM_063982607.1	XP_063838677.1	454	
NC_087090.1	7658029	7659821	3	minus	negative elongation factor E	LOC135088293	135088293	protein-coding	XM_063983160.1	XP_063839230.1	267	
NC_087090.1	7662509	7669007	3	minus	3,4-dihydroxyphenylacetaldehyde synthase-like	LOC135087810	135087810	protein-coding	XM_063982609.1	XP_063838679.1	500	
NC_087090.1	7678853	7684771	3	minus	uncharacterized LOC135087811	LOC135087811	135087811	protein-coding	XM_063982610.1	XP_063838680.1	1751	
NC_087090.1	7715195	7725283	3	plus	LIM/homeobox protein Lhx3	LOC135088156	135088156	protein-coding	XM_063983042.1	XP_063839112.1	385	
NC_087090.1	7725317	7749474	3	minus	protein phosphatase PHLPP-like protein	LOC135087827	135087827	protein-coding	XM_063982635.1	XP_063838705.1	1290	
NC_087090.1	7750026	7756010	3	minus	serotriflin-like	LOC135088294	135088294	protein-coding	XM_063983162.1	XP_063839232.1	263	
NC_087090.1	7759529	7761149	3	minus	dynein axonemal assembly factor 6	LOC135088295	135088295	protein-coding	XM_063983163.1	XP_063839233.1	186	
NC_087090.1	7762309	7763990	3	minus	probable 26S proteasome non-ATPase regulatory subunit 3	LOC135087812	135087812	protein-coding	XM_063982611.1	XP_063838681.1	495	
NC_087090.1	7770114	7779934	3	plus	uncharacterized LOC135087813	LOC135087813	135087813	protein-coding	XM_063982612.1	XP_063838682.1	515	
NC_087090.1	7797960	8166936	3	minus	neural-cadherin	LOC135087825	135087825	protein-coding	XM_063982627.1	XP_063838697.1	3017	
NC_087090.1	8058050	8061732	3	plus	uncharacterized LOC135087582	LOC135087582	135087582	protein-coding	XM_063982310.1	XP_063838380.1	123	
NC_087090.1	8171727	8173367	3	minus	transcription activator GAGA-like	LOC135087829	135087829	protein-coding	XM_063982643.1	XP_063838713.1	314	
NC_087090.1	8173851	8178156	3	plus	geranylgeranyl transferase type-2 subunit alpha	LOC135087815	135087815	protein-coding	XM_063982617.1	XP_063838687.1	528	
NC_087090.1	8178195	8180950	3	minus	exonuclease mut-7 homolog	LOC135087814	135087814	protein-coding	XM_063982616.1	XP_063838686.1	844	
NC_087090.1	8181663	8186996	3	plus	26S proteasome non-ATPase regulatory subunit 6	LOC135087817	135087817	protein-coding	XM_063982618.1	XP_063838688.1	382	
NC_087090.1	8187472	8212435	3	minus	homeotic protein spalt-major-like	LOC135087828	135087828	protein-coding	XM_063982637.1	XP_063838707.1	1055	
NC_087090.1	8498988	8500642	3	minus	uncharacterized LOC135088299	LOC135088299	135088299	protein-coding	XM_063983164.1	XP_063839234.1	257	
NC_087090.1	8511527	8513613	3	plus	probable RNA methyltransferase CG11342	LOC135087819	135087819	protein-coding	XM_063982619.1	XP_063838689.1	234	
NC_087090.1	8513507	8514741	3	minus	uncharacterized LOC135087820	LOC135087820	135087820	protein-coding	XM_063982620.1	XP_063838690.1	111	
NC_087090.1	8517073	8518721	3	plus	FMR1-interacting protein NUFIP1	LOC135087821	135087821	protein-coding	XM_063982622.1	XP_063838692.1	420	
NC_087090.1	8523862	8527513	3	minus	large ribosomal subunit protein uL3	LOC135087822	135087822	protein-coding	XM_063982623.1	XP_063838693.1	413	
NC_087090.1	8538371	8539726	3	plus	mediator of RNA polymerase II transcription subunit 11	LOC135088300	135088300	protein-coding	XM_063983166.1	XP_063839236.1	135	
NC_087090.1	8541862	8545170	3	minus	protein slowmo	LOC135087823	135087823	protein-coding	XM_063982624.1	XP_063838694.1	228	
NC_087090.1	8548798	8556672	3	plus	diacylglycerol O-acyltransferase 1	LOC135087824	135087824	protein-coding	XM_063982625.1	XP_063838695.1	491	
NC_087090.1	8564896	8565795	3	plus	neural retina-specific leucine zipper protein-like	LOC135088157	135088157	protein-coding	XM_063983044.1	XP_063839114.1	299	
NC_087090.1	8606279	8619931	3	plus	multiple epidermal growth factor-like domains protein 8	LOC135088158	135088158	protein-coding	XM_063983045.1	XP_063839115.1	2796	
NC_087090.1	8625881	8632428	3	minus	enhancer of yellow 2 transcription factor-like	LOC135087832	135087832	protein-coding	XM_063982647.1	XP_063838717.1	93	
NC_087090.1	8632452	8634083	3	plus	peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme-like	LOC135087831	135087831	protein-coding	XM_063982646.1	XP_063838716.1	235	
NC_087090.1	8634201	8650439	3	minus	thioester-containing protein 1 allele R1-like	LOC135087830	135087830	protein-coding	XM_063982644.1	XP_063838714.1	1444	
